id,emission_type,livestock_category_type,livestock_production_type,climate,moisture,manure_management_type,value,value_min,value_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, table 10.14 (footnotes)."
136809,EmissionType object (4),Growing Swine,Low-Productivity,Warm Temperate,Dry,Deep Bedding,0.035,0.0245,0.0455,
136810,EmissionType object (4),Growing Swine,Low-Productivity,Warm Temperate,Dry,Composting,0.04,0.028,0.052,
136811,EmissionType object (4),Growing Swine,Low-Productivity,Warm Temperate,Dry,Aerobic Treatment,0,0,0,
136812,EmissionType object (4),Growing Swine,Low-Productivity,Tropical Montane,Dry,Lagoon,0,0,0,
136813,EmissionType object (4),Growing Swine,Low-Productivity,Tropical Montane,Dry,Liquid/Slurry,0,0,0,
136814,EmissionType object (4),Growing Swine,Low-Productivity,Tropical Montane,Dry,Solid Storage,0.015,0.0105,0.0195,
136815,EmissionType object (4),Growing Swine,Low-Productivity,Tropical Montane,Dry,Dry Lot,0.035,0.0245,0.0455,
136816,EmissionType object (4),Growing Swine,Low-Productivity,Tropical Montane,Dry,Pasture/Range/Paddock,0,0,0,
136817,EmissionType object (4),Growing Swine,Low-Productivity,Tropical Montane,Dry,Daily Spread,0,0,0,
136818,EmissionType object (4),Growing Swine,Low-Productivity,Tropical Montane,Dry,Digester,0,0,0,
136819,EmissionType object (4),Growing Swine,Low-Productivity,Tropical Montane,Dry,Burned For Fuel,0,0,0,
136820,EmissionType object (4),Growing Swine,Low-Productivity,Tropical Montane,Dry,Pit<1Month,0,0,0,
136821,EmissionType object (4),Growing Swine,Low-Productivity,Tropical Montane,Dry,Pit>1Month,0,0,0,
136822,EmissionType object (4),Growing Swine,Low-Productivity,Tropical Montane,Dry,Poultry Manure,0,0,0,
136823,EmissionType object (4),Growing Swine,Low-Productivity,Tropical Montane,Dry,Deep Bedding,0.035,0.0245,0.0455,
136824,EmissionType object (4),Growing Swine,Low-Productivity,Tropical Montane,Dry,Composting,0.04,0.028,0.052,
136825,EmissionType object (4),Growing Swine,Low-Productivity,Tropical Montane,Dry,Aerobic Treatment,0,0,0,
136826,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Wet,Lagoon,0,0,0,
136827,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Wet,Liquid/Slurry,0,0,0,
136828,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Wet,Solid Storage,0.015,0.0105,0.0195,
136829,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Wet,Dry Lot,0.035,0.0245,0.0455,
136830,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Wet,Pasture/Range/Paddock,0.24,0.168,0.312,
136831,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Wet,Daily Spread,0,0,0,
136832,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Wet,Digester,0,0,0,
136833,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Wet,Burned For Fuel,0,0,0,
136834,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Wet,Pit<1Month,0,0,0,
136835,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Wet,Pit>1Month,0,0,0,
136836,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Wet,Poultry Manure,0,0,0,
136837,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Wet,Deep Bedding,0.035,0.0245,0.0455,
136838,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Wet,Composting,0.04,0.028,0.052,
136839,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Wet,Aerobic Treatment,0,0,0,
136840,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Moist,Lagoon,0,0,0,
136841,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Moist,Liquid/Slurry,0,0,0,
136842,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Moist,Solid Storage,0.015,0.0105,0.0195,
136843,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Moist,Dry Lot,0.035,0.0245,0.0455,
136844,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Moist,Pasture/Range/Paddock,0.12,0.084,0.156,
136845,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Moist,Daily Spread,0,0,0,
136846,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Moist,Digester,0,0,0,
136847,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Moist,Burned For Fuel,0,0,0,
136848,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Moist,Pit<1Month,0,0,0,
136849,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Moist,Pit>1Month,0,0,0,
136850,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Moist,Poultry Manure,0,0,0,
136851,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Moist,Deep Bedding,0.035,0.0245,0.0455,
136852,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Moist,Composting,0.04,0.028,0.052,
136853,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Moist,Aerobic Treatment,0,0,0,
136854,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Dry,Lagoon,0,0,0,
136855,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Dry,Liquid/Slurry,0,0,0,
136856,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Dry,Solid Storage,0.015,0.0105,0.0195,
136857,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Dry,Dry Lot,0.035,0.0245,0.0455,
136858,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Dry,Pasture/Range/Paddock,0,0,0,
136859,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Dry,Daily Spread,0,0,0,
136860,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Dry,Digester,0,0,0,
136861,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Dry,Burned For Fuel,0,0,0,
136862,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Dry,Pit<1Month,0,0,0,
136863,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Dry,Pit>1Month,0,0,0,
136864,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Dry,Poultry Manure,0,0,0,
136865,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Dry,Deep Bedding,0.035,0.0245,0.0455,
136866,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Dry,Composting,0.04,0.028,0.052,
136867,EmissionType object (4),Growing Swine,Low-Productivity,Tropical,Dry,Aerobic Treatment,0,0,0,
136868,EmissionType object (4),Breeding Swine,High-Productivity,Cool Temperate,Moist,Lagoon,0,0,0,
136869,EmissionType object (4),Breeding Swine,High-Productivity,Cool Temperate,Moist,Liquid/Slurry,0,0,0,
136870,EmissionType object (4),Breeding Swine,High-Productivity,Cool Temperate,Moist,Solid Storage,0.015,0.0105,0.0195,
136871,EmissionType object (4),Breeding Swine,High-Productivity,Cool Temperate,Moist,Dry Lot,0.035,0.0245,0.0455,
136872,EmissionType object (4),Breeding Swine,High-Productivity,Cool Temperate,Moist,Pasture/Range/Paddock,0.12,0.084,0.156,
136873,EmissionType object (4),Breeding Swine,High-Productivity,Cool Temperate,Moist,Daily Spread,0,0,0,
136874,EmissionType object (4),Breeding Swine,High-Productivity,Cool Temperate,Moist,Digester,0,0,0,
136875,EmissionType object (4),Breeding Swine,High-Productivity,Cool Temperate,Moist,Burned For Fuel,0,0,0,
136876,EmissionType object (4),Breeding Swine,High-Productivity,Cool Temperate,Moist,Pit<1Month,0,0,0,
136877,EmissionType object (4),Breeding Swine,High-Productivity,Cool Temperate,Moist,Pit>1Month,0,0,0,
136878,EmissionType object (4),Breeding Swine,High-Productivity,Cool Temperate,Moist,Poultry Manure,0,0,0,
136879,EmissionType object (4),Breeding Swine,High-Productivity,Cool Temperate,Moist,Deep Bedding,0.035,0.0245,0.0455,
136880,EmissionType object (4),Breeding Swine,High-Productivity,Cool Temperate,Moist,Composting,0.04,0.028,0.052,
136881,EmissionType object (4),Breeding Swine,High-Productivity,Cool Temperate,Moist,Aerobic Treatment,0,0,0,
136882,EmissionType object (4),Breeding Swine,High-Productivity,Cool Temperate,Dry,Lagoon,0,0,0,
136883,EmissionType object (4),Breeding Swine,High-Productivity,Cool Temperate,Dry,Liquid/Slurry,0,0,0,
136884,EmissionType object (4),Breeding Swine,High-Productivity,Cool Temperate,Dry,Solid Storage,0.015,0.0105,0.0195,
136885,EmissionType object (4),Breeding Swine,High-Productivity,Cool Temperate,Dry,Dry Lot,0.035,0.0245,0.0455,
136886,EmissionType object (4),Breeding Swine,High-Productivity,Cool Temperate,Dry,Pasture/Range/Paddock,0,0,0,
136887,EmissionType object (4),Breeding Swine,High-Productivity,Cool Temperate,Dry,Daily Spread,0,0,0,
136888,EmissionType object (4),Breeding Swine,High-Productivity,Cool Temperate,Dry,Digester,0,0,0,
136889,EmissionType object (4),Breeding Swine,High-Productivity,Cool Temperate,Dry,Burned For Fuel,0,0,0,
136890,EmissionType object (4),Breeding Swine,High-Productivity,Cool Temperate,Dry,Pit<1Month,0,0,0,
136891,EmissionType object (4),Breeding Swine,High-Productivity,Cool Temperate,Dry,Pit>1Month,0,0,0,
136892,EmissionType object (4),Breeding Swine,High-Productivity,Cool Temperate,Dry,Poultry Manure,0,0,0,
136893,EmissionType object (4),Breeding Swine,High-Productivity,Cool Temperate,Dry,Deep Bedding,0.035,0.0245,0.0455,
136894,EmissionType object (4),Breeding Swine,High-Productivity,Cool Temperate,Dry,Composting,0.04,0.028,0.052,
136895,EmissionType object (4),Breeding Swine,High-Productivity,Cool Temperate,Dry,Aerobic Treatment,0,0,0,
136896,EmissionType object (4),Breeding Swine,High-Productivity,Boreal,Moist,Lagoon,0,0,0,
136897,EmissionType object (4),Breeding Swine,High-Productivity,Boreal,Moist,Liquid/Slurry,0,0,0,
136898,EmissionType object (4),Breeding Swine,High-Productivity,Boreal,Moist,Solid Storage,0.015,0.0105,0.0195,
136899,EmissionType object (4),Breeding Swine,High-Productivity,Boreal,Moist,Dry Lot,0.035,0.0245,0.0455,
136900,EmissionType object (4),Breeding Swine,High-Productivity,Boreal,Moist,Pasture/Range/Paddock,0.12,0.084,0.156,
136901,EmissionType object (4),Breeding Swine,High-Productivity,Boreal,Moist,Daily Spread,0,0,0,
136902,EmissionType object (4),Breeding Swine,High-Productivity,Boreal,Moist,Digester,0,0,0,
136903,EmissionType object (4),Breeding Swine,High-Productivity,Boreal,Moist,Burned For Fuel,0,0,0,
136904,EmissionType object (4),Breeding Swine,High-Productivity,Boreal,Moist,Pit<1Month,0,0,0,
136905,EmissionType object (4),Breeding Swine,High-Productivity,Boreal,Moist,Pit>1Month,0,0,0,
136906,EmissionType object (4),Breeding Swine,High-Productivity,Boreal,Moist,Poultry Manure,0,0,0,
136907,EmissionType object (4),Breeding Swine,High-Productivity,Boreal,Moist,Deep Bedding,0.035,0.0245,0.0455,
136908,EmissionType object (4),Breeding Swine,High-Productivity,Boreal,Moist,Composting,0.04,0.028,0.052,
136909,EmissionType object (4),Breeding Swine,High-Productivity,Boreal,Moist,Aerobic Treatment,0,0,0,
136910,EmissionType object (4),Breeding Swine,High-Productivity,Boreal,Dry,Lagoon,0,0,0,
136911,EmissionType object (4),Breeding Swine,High-Productivity,Boreal,Dry,Liquid/Slurry,0,0,0,
136912,EmissionType object (4),Breeding Swine,High-Productivity,Boreal,Dry,Solid Storage,0.015,0.0105,0.0195,
136913,EmissionType object (4),Breeding Swine,High-Productivity,Boreal,Dry,Dry Lot,0.035,0.0245,0.0455,
136914,EmissionType object (4),Breeding Swine,High-Productivity,Boreal,Dry,Pasture/Range/Paddock,0,0,0,
136915,EmissionType object (4),Breeding Swine,High-Productivity,Boreal,Dry,Daily Spread,0,0,0,
136916,EmissionType object (4),Breeding Swine,High-Productivity,Boreal,Dry,Digester,0,0,0,
136917,EmissionType object (4),Breeding Swine,High-Productivity,Boreal,Dry,Burned For Fuel,0,0,0,
136918,EmissionType object (4),Breeding Swine,High-Productivity,Boreal,Dry,Pit<1Month,0,0,0,
136919,EmissionType object (4),Breeding Swine,High-Productivity,Boreal,Dry,Pit>1Month,0,0,0,
136920,EmissionType object (4),Breeding Swine,High-Productivity,Boreal,Dry,Poultry Manure,0,0,0,
136921,EmissionType object (4),Breeding Swine,High-Productivity,Boreal,Dry,Deep Bedding,0.035,0.0245,0.0455,
136922,EmissionType object (4),Breeding Swine,High-Productivity,Boreal,Dry,Composting,0.04,0.028,0.052,
136923,EmissionType object (4),Breeding Swine,High-Productivity,Boreal,Dry,Aerobic Treatment,0,0,0,
136924,EmissionType object (4),Breeding Swine,High-Productivity,Warm Temperate,Moist,Lagoon,0,0,0,
136925,EmissionType object (4),Breeding Swine,High-Productivity,Warm Temperate,Moist,Liquid/Slurry,0,0,0,
136926,EmissionType object (4),Breeding Swine,High-Productivity,Warm Temperate,Moist,Solid Storage,0.015,0.0105,0.0195,
136927,EmissionType object (4),Breeding Swine,High-Productivity,Warm Temperate,Moist,Dry Lot,0.035,0.0245,0.0455,
136928,EmissionType object (4),Breeding Swine,High-Productivity,Warm Temperate,Moist,Pasture/Range/Paddock,0.12,0.084,0.156,
136929,EmissionType object (4),Breeding Swine,High-Productivity,Warm Temperate,Moist,Daily Spread,0,0,0,
136930,EmissionType object (4),Breeding Swine,High-Productivity,Warm Temperate,Moist,Digester,0,0,0,
136931,EmissionType object (4),Breeding Swine,High-Productivity,Warm Temperate,Moist,Burned For Fuel,0,0,0,
136932,EmissionType object (4),Breeding Swine,High-Productivity,Warm Temperate,Moist,Pit<1Month,0,0,0,
136933,EmissionType object (4),Breeding Swine,High-Productivity,Warm Temperate,Moist,Pit>1Month,0,0,0,
136934,EmissionType object (4),Breeding Swine,High-Productivity,Warm Temperate,Moist,Poultry Manure,0,0,0,
136935,EmissionType object (4),Breeding Swine,High-Productivity,Warm Temperate,Moist,Deep Bedding,0.035,0.0245,0.0455,
136936,EmissionType object (4),Breeding Swine,High-Productivity,Warm Temperate,Moist,Composting,0.04,0.028,0.052,
136937,EmissionType object (4),Breeding Swine,High-Productivity,Warm Temperate,Moist,Aerobic Treatment,0,0,0,
136938,EmissionType object (4),Breeding Swine,High-Productivity,Warm Temperate,Dry,Lagoon,0,0,0,
136939,EmissionType object (4),Breeding Swine,High-Productivity,Warm Temperate,Dry,Liquid/Slurry,0,0,0,
136940,EmissionType object (4),Breeding Swine,High-Productivity,Warm Temperate,Dry,Solid Storage,0.015,0.0105,0.0195,
136941,EmissionType object (4),Breeding Swine,High-Productivity,Warm Temperate,Dry,Dry Lot,0.035,0.0245,0.0455,
136942,EmissionType object (4),Breeding Swine,High-Productivity,Warm Temperate,Dry,Pasture/Range/Paddock,0,0,0,
136943,EmissionType object (4),Breeding Swine,High-Productivity,Warm Temperate,Dry,Daily Spread,0,0,0,
136944,EmissionType object (4),Breeding Swine,High-Productivity,Warm Temperate,Dry,Digester,0,0,0,
136945,EmissionType object (4),Breeding Swine,High-Productivity,Warm Temperate,Dry,Burned For Fuel,0,0,0,
136946,EmissionType object (4),Breeding Swine,High-Productivity,Warm Temperate,Dry,Pit<1Month,0,0,0,
136947,EmissionType object (4),Breeding Swine,High-Productivity,Warm Temperate,Dry,Pit>1Month,0,0,0,
136948,EmissionType object (4),Breeding Swine,High-Productivity,Warm Temperate,Dry,Poultry Manure,0,0,0,
136949,EmissionType object (4),Breeding Swine,High-Productivity,Warm Temperate,Dry,Deep Bedding,0.035,0.0245,0.0455,
136950,EmissionType object (4),Breeding Swine,High-Productivity,Warm Temperate,Dry,Composting,0.04,0.028,0.052,
136951,EmissionType object (4),Breeding Swine,High-Productivity,Warm Temperate,Dry,Aerobic Treatment,0,0,0,
136952,EmissionType object (4),Breeding Swine,High-Productivity,Tropical Montane,Dry,Lagoon,0,0,0,
136953,EmissionType object (4),Breeding Swine,High-Productivity,Tropical Montane,Dry,Liquid/Slurry,0,0,0,
136954,EmissionType object (4),Breeding Swine,High-Productivity,Tropical Montane,Dry,Solid Storage,0.015,0.0105,0.0195,
136955,EmissionType object (4),Breeding Swine,High-Productivity,Tropical Montane,Dry,Dry Lot,0.035,0.0245,0.0455,
136956,EmissionType object (4),Breeding Swine,High-Productivity,Tropical Montane,Dry,Pasture/Range/Paddock,0,0,0,
136957,EmissionType object (4),Breeding Swine,High-Productivity,Tropical Montane,Dry,Daily Spread,0,0,0,
136958,EmissionType object (4),Breeding Swine,High-Productivity,Tropical Montane,Dry,Digester,0,0,0,
136959,EmissionType object (4),Breeding Swine,High-Productivity,Tropical Montane,Dry,Burned For Fuel,0,0,0,
136960,EmissionType object (4),Breeding Swine,High-Productivity,Tropical Montane,Dry,Pit<1Month,0,0,0,
136961,EmissionType object (4),Breeding Swine,High-Productivity,Tropical Montane,Dry,Pit>1Month,0,0,0,
136962,EmissionType object (4),Breeding Swine,High-Productivity,Tropical Montane,Dry,Poultry Manure,0,0,0,
136963,EmissionType object (4),Breeding Swine,High-Productivity,Tropical Montane,Dry,Deep Bedding,0.035,0.0245,0.0455,
136964,EmissionType object (4),Breeding Swine,High-Productivity,Tropical Montane,Dry,Composting,0.04,0.028,0.052,
136965,EmissionType object (4),Breeding Swine,High-Productivity,Tropical Montane,Dry,Aerobic Treatment,0,0,0,
136966,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Wet,Lagoon,0,0,0,
136967,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Wet,Liquid/Slurry,0,0,0,
136968,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Wet,Solid Storage,0.015,0.0105,0.0195,
136969,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Wet,Dry Lot,0.035,0.0245,0.0455,
136970,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Wet,Pasture/Range/Paddock,0.24,0.168,0.312,
136971,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Wet,Daily Spread,0,0,0,
136972,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Wet,Digester,0,0,0,
136973,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Wet,Burned For Fuel,0,0,0,
136974,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Wet,Pit<1Month,0,0,0,
136975,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Wet,Pit>1Month,0,0,0,
136976,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Wet,Poultry Manure,0,0,0,
136977,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Wet,Deep Bedding,0.035,0.0245,0.0455,
136978,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Wet,Composting,0.04,0.028,0.052,
136979,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Wet,Aerobic Treatment,0,0,0,
136980,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Moist,Lagoon,0,0,0,
136981,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Moist,Liquid/Slurry,0,0,0,
136982,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Moist,Solid Storage,0.015,0.0105,0.0195,
136983,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Moist,Dry Lot,0.035,0.0245,0.0455,
136984,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Moist,Pasture/Range/Paddock,0.12,0.084,0.156,
136985,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Moist,Daily Spread,0,0,0,
136986,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Moist,Digester,0,0,0,
136987,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Moist,Burned For Fuel,0,0,0,
136988,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Moist,Pit<1Month,0,0,0,
136989,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Moist,Pit>1Month,0,0,0,
136990,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Moist,Poultry Manure,0,0,0,
136991,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Moist,Deep Bedding,0.035,0.0245,0.0455,
136992,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Moist,Composting,0.04,0.028,0.052,
136993,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Moist,Aerobic Treatment,0,0,0,
136994,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Dry,Lagoon,0,0,0,
136995,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Dry,Liquid/Slurry,0,0,0,
136996,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Dry,Solid Storage,0.015,0.0105,0.0195,
136997,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Dry,Dry Lot,0.035,0.0245,0.0455,
136998,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Dry,Pasture/Range/Paddock,0,0,0,
136999,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Dry,Daily Spread,0,0,0,
137000,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Dry,Digester,0,0,0,
137001,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Dry,Burned For Fuel,0,0,0,
137002,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Dry,Pit<1Month,0,0,0,
137003,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Dry,Pit>1Month,0,0,0,
137004,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Dry,Poultry Manure,0,0,0,
137005,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Dry,Deep Bedding,0.035,0.0245,0.0455,
137006,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Dry,Composting,0.04,0.028,0.052,
137007,EmissionType object (4),Breeding Swine,High-Productivity,Tropical,Dry,Aerobic Treatment,0,0,0,
137008,EmissionType object (4),Breeding Swine,Low-Productivity,Cool Temperate,Moist,Lagoon,0,0,0,
137009,EmissionType object (4),Breeding Swine,Low-Productivity,Cool Temperate,Moist,Liquid/Slurry,0,0,0,
137010,EmissionType object (4),Breeding Swine,Low-Productivity,Cool Temperate,Moist,Solid Storage,0.015,0.0105,0.0195,
137011,EmissionType object (4),Breeding Swine,Low-Productivity,Cool Temperate,Moist,Dry Lot,0.035,0.0245,0.0455,
137012,EmissionType object (4),Breeding Swine,Low-Productivity,Cool Temperate,Moist,Pasture/Range/Paddock,0.12,0.084,0.156,
137013,EmissionType object (4),Breeding Swine,Low-Productivity,Cool Temperate,Moist,Daily Spread,0,0,0,
137014,EmissionType object (4),Breeding Swine,Low-Productivity,Cool Temperate,Moist,Digester,0,0,0,
137015,EmissionType object (4),Breeding Swine,Low-Productivity,Cool Temperate,Moist,Burned For Fuel,0,0,0,
137016,EmissionType object (4),Breeding Swine,Low-Productivity,Cool Temperate,Moist,Pit<1Month,0,0,0,
137017,EmissionType object (4),Breeding Swine,Low-Productivity,Cool Temperate,Moist,Pit>1Month,0,0,0,
137018,EmissionType object (4),Breeding Swine,Low-Productivity,Cool Temperate,Moist,Poultry Manure,0,0,0,
137019,EmissionType object (4),Breeding Swine,Low-Productivity,Cool Temperate,Moist,Deep Bedding,0.035,0.0245,0.0455,
137020,EmissionType object (4),Breeding Swine,Low-Productivity,Cool Temperate,Moist,Composting,0.04,0.028,0.052,
137021,EmissionType object (4),Breeding Swine,Low-Productivity,Cool Temperate,Moist,Aerobic Treatment,0,0,0,
137022,EmissionType object (4),Breeding Swine,Low-Productivity,Cool Temperate,Dry,Lagoon,0,0,0,
137023,EmissionType object (4),Breeding Swine,Low-Productivity,Cool Temperate,Dry,Liquid/Slurry,0,0,0,
137024,EmissionType object (4),Breeding Swine,Low-Productivity,Cool Temperate,Dry,Solid Storage,0.015,0.0105,0.0195,
137025,EmissionType object (4),Breeding Swine,Low-Productivity,Cool Temperate,Dry,Dry Lot,0.035,0.0245,0.0455,
137026,EmissionType object (4),Breeding Swine,Low-Productivity,Cool Temperate,Dry,Pasture/Range/Paddock,0,0,0,
137027,EmissionType object (4),Breeding Swine,Low-Productivity,Cool Temperate,Dry,Daily Spread,0,0,0,
137028,EmissionType object (4),Breeding Swine,Low-Productivity,Cool Temperate,Dry,Digester,0,0,0,
137029,EmissionType object (4),Breeding Swine,Low-Productivity,Cool Temperate,Dry,Burned For Fuel,0,0,0,
137030,EmissionType object (4),Breeding Swine,Low-Productivity,Cool Temperate,Dry,Pit<1Month,0,0,0,
137031,EmissionType object (4),Breeding Swine,Low-Productivity,Cool Temperate,Dry,Pit>1Month,0,0,0,
137032,EmissionType object (4),Breeding Swine,Low-Productivity,Cool Temperate,Dry,Poultry Manure,0,0,0,
137033,EmissionType object (4),Breeding Swine,Low-Productivity,Cool Temperate,Dry,Deep Bedding,0.035,0.0245,0.0455,
137034,EmissionType object (4),Breeding Swine,Low-Productivity,Cool Temperate,Dry,Composting,0.04,0.028,0.052,
137035,EmissionType object (4),Breeding Swine,Low-Productivity,Cool Temperate,Dry,Aerobic Treatment,0,0,0,
137036,EmissionType object (4),Breeding Swine,Low-Productivity,Boreal,Moist,Lagoon,0,0,0,
137037,EmissionType object (4),Breeding Swine,Low-Productivity,Boreal,Moist,Liquid/Slurry,0,0,0,
137038,EmissionType object (4),Breeding Swine,Low-Productivity,Boreal,Moist,Solid Storage,0.015,0.0105,0.0195,
137039,EmissionType object (4),Breeding Swine,Low-Productivity,Boreal,Moist,Dry Lot,0.035,0.0245,0.0455,
137040,EmissionType object (4),Breeding Swine,Low-Productivity,Boreal,Moist,Pasture/Range/Paddock,0.12,0.084,0.156,
137041,EmissionType object (4),Breeding Swine,Low-Productivity,Boreal,Moist,Daily Spread,0,0,0,
137042,EmissionType object (4),Breeding Swine,Low-Productivity,Boreal,Moist,Digester,0,0,0,
137043,EmissionType object (4),Breeding Swine,Low-Productivity,Boreal,Moist,Burned For Fuel,0,0,0,
137044,EmissionType object (4),Breeding Swine,Low-Productivity,Boreal,Moist,Pit<1Month,0,0,0,
137045,EmissionType object (4),Breeding Swine,Low-Productivity,Boreal,Moist,Pit>1Month,0,0,0,
137046,EmissionType object (4),Breeding Swine,Low-Productivity,Boreal,Moist,Poultry Manure,0,0,0,
137047,EmissionType object (4),Breeding Swine,Low-Productivity,Boreal,Moist,Deep Bedding,0.035,0.0245,0.0455,
137048,EmissionType object (4),Breeding Swine,Low-Productivity,Boreal,Moist,Composting,0.04,0.028,0.052,
137049,EmissionType object (4),Breeding Swine,Low-Productivity,Boreal,Moist,Aerobic Treatment,0,0,0,
137050,EmissionType object (4),Breeding Swine,Low-Productivity,Boreal,Dry,Lagoon,0,0,0,
137051,EmissionType object (4),Breeding Swine,Low-Productivity,Boreal,Dry,Liquid/Slurry,0,0,0,
137052,EmissionType object (4),Breeding Swine,Low-Productivity,Boreal,Dry,Solid Storage,0.015,0.0105,0.0195,
137053,EmissionType object (4),Breeding Swine,Low-Productivity,Boreal,Dry,Dry Lot,0.035,0.0245,0.0455,
137054,EmissionType object (4),Breeding Swine,Low-Productivity,Boreal,Dry,Pasture/Range/Paddock,0,0,0,
137055,EmissionType object (4),Breeding Swine,Low-Productivity,Boreal,Dry,Daily Spread,0,0,0,
137056,EmissionType object (4),Breeding Swine,Low-Productivity,Boreal,Dry,Digester,0,0,0,
137057,EmissionType object (4),Breeding Swine,Low-Productivity,Boreal,Dry,Burned For Fuel,0,0,0,
137058,EmissionType object (4),Breeding Swine,Low-Productivity,Boreal,Dry,Pit<1Month,0,0,0,
137059,EmissionType object (4),Breeding Swine,Low-Productivity,Boreal,Dry,Pit>1Month,0,0,0,
137060,EmissionType object (4),Breeding Swine,Low-Productivity,Boreal,Dry,Poultry Manure,0,0,0,
137061,EmissionType object (4),Breeding Swine,Low-Productivity,Boreal,Dry,Deep Bedding,0.035,0.0245,0.0455,
