id,climate,moisture,continent,land_use_type,value,value_min,value_max,"source: Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, tables 5.2, 5.3, 5.9."
44729,Warm Temperate,Dry,Western Africa,Flooded Rice,4.7,1.175,8.225,
44730,Warm Temperate,Dry,Western Africa,Grassland,2.867,#N/A,#N/A,
44731,Warm Temperate,Dry,Western Africa,Other Land (Non-Vegetated),0,#N/A,#N/A,
44732,Warm Temperate,Dry,Western Africa,Settlement,0,#N/A,#N/A,
44733,Warm Temperate,Dry,Western Africa,Agroforestry - Default,20.6,5.15,36.05,
44734,Warm Temperate,Dry,Western Africa,Hedgerow,13.1,9.301,16.899,
44735,Warm Temperate,Dry,Western Africa,Silvoarable,13.7,3.425,23.975,
44736,Warm Temperate,Dry,Western Africa,Silvopasture,35,8.75,61.25,
44737,Warm Temperate,Dry,Western Africa,Other Land,1,#N/A,#N/A,
44738,Warm Temperate,Dry,Western Africa,Olive,6.9,1.725,12.075,
44739,Warm Temperate,Dry,Western Africa,Orchard,6.4,1.6,11.2,
44740,Warm Temperate,Dry,Western Africa,Short Rotation Coppice,6.35,1.5875,11.1125,
44741,Warm Temperate,Dry,Western Africa,Tea,18.3,4.575,32.025,
44742,Warm Temperate,Dry,Western Africa,Vine,2.8,2.1,3.5,
44743,Warm Temperate,Dry,Central Asia,Grains,4.7,1.175,8.225,
44744,Warm Temperate,Dry,Central Asia,Maize,4.7,1.175,8.225,
44745,Warm Temperate,Dry,Central Asia,Sugarcane,4.7,1.175,8.225,
44746,Warm Temperate,Dry,Central Asia,Wheat,4.7,1.175,8.225,
44747,Warm Temperate,Dry,Central Asia,Beans & Pulses,4.7,1.175,8.225,
44748,Warm Temperate,Dry,Central Asia,Tubers,4.7,1.175,8.225,
44749,Warm Temperate,Dry,Central Asia,Root Crops,4.7,1.175,8.225,
44750,Warm Temperate,Dry,Central Asia,Barley,4.7,1.175,8.225,
44751,Warm Temperate,Dry,Central Asia,Oats,4.7,1.175,8.225,
44752,Warm Temperate,Dry,Central Asia,Millet,4.7,1.175,8.225,
44753,Warm Temperate,Dry,Central Asia,Sorghum,4.7,1.175,8.225,
44754,Warm Temperate,Dry,Central Asia,Rye,4.7,1.175,8.225,
44755,Warm Temperate,Dry,Central Asia,Soybeans,4.7,1.175,8.225,
44756,Warm Temperate,Dry,Central Asia,Dry Bean,4.7,1.175,8.225,
44757,Warm Temperate,Dry,Central Asia,Potatoes,4.7,1.175,8.225,
44758,Warm Temperate,Dry,Central Asia,Peanuts,4.7,1.175,8.225,
44759,Warm Temperate,Dry,Central Asia,Vegetables,4.7,1.175,8.225,
44760,Warm Temperate,Dry,Central Asia,Oilseeds,4.7,1.175,8.225,
44761,Warm Temperate,Dry,Central Asia,Groundnuts,4.7,1.175,8.225,
44762,Warm Temperate,Dry,Central Asia,Annual Cropland,4.7,1.175,8.225,
44763,Warm Temperate,Dry,Central Asia,Set Aside,4.7,1.175,8.225,
44764,Warm Temperate,Dry,Central Asia,Flooded Rice,4.7,1.175,8.225,
44765,Warm Temperate,Dry,Central Asia,Grassland,2.867,#N/A,#N/A,
44766,Warm Temperate,Dry,Central Asia,Other Land (Non-Vegetated),0,#N/A,#N/A,
44767,Warm Temperate,Dry,Central Asia,Settlement,0,#N/A,#N/A,
44768,Warm Temperate,Dry,Central Asia,Agroforestry - Default,20.6,5.15,36.05,
44769,Warm Temperate,Dry,Central Asia,Hedgerow,13.1,9.301,16.899,
44770,Warm Temperate,Dry,Central Asia,Silvoarable,13.7,3.425,23.975,
44771,Warm Temperate,Dry,Central Asia,Silvopasture,35,8.75,61.25,
44772,Warm Temperate,Dry,Central Asia,Other Land,1,#N/A,#N/A,
44773,Warm Temperate,Dry,Central Asia,Olive,6.9,1.725,12.075,
44774,Warm Temperate,Dry,Central Asia,Orchard,6.4,1.6,11.2,
44775,Warm Temperate,Dry,Central Asia,Short Rotation Coppice,6.35,1.5875,11.1125,
44776,Warm Temperate,Dry,Central Asia,Tea,18.3,4.575,32.025,
44777,Warm Temperate,Dry,Central Asia,Vine,2.8,2.1,3.5,
44778,Warm Temperate,Dry,Eastern Asia,Grains,4.7,1.175,8.225,
44779,Warm Temperate,Dry,Eastern Asia,Maize,4.7,1.175,8.225,
44780,Warm Temperate,Dry,Eastern Asia,Sugarcane,4.7,1.175,8.225,
44781,Warm Temperate,Dry,Eastern Asia,Wheat,4.7,1.175,8.225,
44782,Warm Temperate,Dry,Eastern Asia,Beans & Pulses,4.7,1.175,8.225,
44783,Warm Temperate,Dry,Eastern Asia,Tubers,4.7,1.175,8.225,
44784,Warm Temperate,Dry,Eastern Asia,Root Crops,4.7,1.175,8.225,
44785,Warm Temperate,Dry,Eastern Asia,Barley,4.7,1.175,8.225,
44786,Warm Temperate,Dry,Eastern Asia,Oats,4.7,1.175,8.225,
44787,Warm Temperate,Dry,Eastern Asia,Millet,4.7,1.175,8.225,
44788,Warm Temperate,Dry,Eastern Asia,Sorghum,4.7,1.175,8.225,
44789,Warm Temperate,Dry,Eastern Asia,Rye,4.7,1.175,8.225,
44790,Warm Temperate,Dry,Eastern Asia,Soybeans,4.7,1.175,8.225,
44791,Warm Temperate,Dry,Eastern Asia,Dry Bean,4.7,1.175,8.225,
44792,Warm Temperate,Dry,Eastern Asia,Potatoes,4.7,1.175,8.225,
44793,Warm Temperate,Dry,Eastern Asia,Peanuts,4.7,1.175,8.225,
44794,Warm Temperate,Dry,Eastern Asia,Vegetables,4.7,1.175,8.225,
44795,Warm Temperate,Dry,Eastern Asia,Oilseeds,4.7,1.175,8.225,
44796,Warm Temperate,Dry,Eastern Asia,Groundnuts,4.7,1.175,8.225,
44797,Warm Temperate,Dry,Eastern Asia,Annual Cropland,4.7,1.175,8.225,
44798,Warm Temperate,Dry,Eastern Asia,Set Aside,4.7,1.175,8.225,
44799,Warm Temperate,Dry,Eastern Asia,Flooded Rice,4.7,1.175,8.225,
44800,Warm Temperate,Dry,Eastern Asia,Grassland,2.867,#N/A,#N/A,
44801,Warm Temperate,Dry,Eastern Asia,Other Land (Non-Vegetated),0,#N/A,#N/A,
44802,Warm Temperate,Dry,Eastern Asia,Settlement,0,#N/A,#N/A,
44803,Warm Temperate,Dry,Eastern Asia,Agroforestry - Default,20.6,5.15,36.05,
44804,Warm Temperate,Dry,Eastern Asia,Hedgerow,13.1,9.301,16.899,
44805,Warm Temperate,Dry,Eastern Asia,Silvoarable,13.7,3.425,23.975,
44806,Warm Temperate,Dry,Eastern Asia,Silvopasture,35,8.75,61.25,
44807,Warm Temperate,Dry,Eastern Asia,Other Land,1,#N/A,#N/A,
44808,Warm Temperate,Dry,Eastern Asia,Olive,6.9,1.725,12.075,
44809,Warm Temperate,Dry,Eastern Asia,Orchard,6.4,1.6,11.2,
44810,Warm Temperate,Dry,Eastern Asia,Short Rotation Coppice,6.35,1.5875,11.1125,
44811,Warm Temperate,Dry,Eastern Asia,Tea,18.3,4.575,32.025,
44812,Warm Temperate,Dry,Eastern Asia,Vine,2.8,2.1,3.5,
44813,Warm Temperate,Dry,South-Eastern Asia,Grains,4.7,1.175,8.225,
44814,Warm Temperate,Dry,South-Eastern Asia,Maize,4.7,1.175,8.225,
44815,Warm Temperate,Dry,South-Eastern Asia,Sugarcane,4.7,1.175,8.225,
44816,Warm Temperate,Dry,South-Eastern Asia,Wheat,4.7,1.175,8.225,
44817,Warm Temperate,Dry,South-Eastern Asia,Beans & Pulses,4.7,1.175,8.225,
44818,Warm Temperate,Dry,South-Eastern Asia,Tubers,4.7,1.175,8.225,
44819,Warm Temperate,Dry,South-Eastern Asia,Root Crops,4.7,1.175,8.225,
44820,Warm Temperate,Dry,South-Eastern Asia,Barley,4.7,1.175,8.225,
44821,Warm Temperate,Dry,South-Eastern Asia,Oats,4.7,1.175,8.225,
44822,Warm Temperate,Dry,South-Eastern Asia,Millet,4.7,1.175,8.225,
44823,Warm Temperate,Dry,South-Eastern Asia,Sorghum,4.7,1.175,8.225,
44824,Warm Temperate,Dry,South-Eastern Asia,Rye,4.7,1.175,8.225,
44825,Warm Temperate,Dry,South-Eastern Asia,Soybeans,4.7,1.175,8.225,
44826,Warm Temperate,Dry,South-Eastern Asia,Dry Bean,4.7,1.175,8.225,
44827,Warm Temperate,Dry,South-Eastern Asia,Potatoes,4.7,1.175,8.225,
44828,Warm Temperate,Dry,South-Eastern Asia,Peanuts,4.7,1.175,8.225,
44829,Warm Temperate,Dry,South-Eastern Asia,Vegetables,4.7,1.175,8.225,
44830,Warm Temperate,Dry,South-Eastern Asia,Oilseeds,4.7,1.175,8.225,
44831,Warm Temperate,Dry,South-Eastern Asia,Groundnuts,4.7,1.175,8.225,
44832,Warm Temperate,Dry,South-Eastern Asia,Annual Cropland,4.7,1.175,8.225,
44833,Warm Temperate,Dry,South-Eastern Asia,Set Aside,4.7,1.175,8.225,
44834,Warm Temperate,Dry,South-Eastern Asia,Flooded Rice,4.7,1.175,8.225,
44835,Warm Temperate,Dry,South-Eastern Asia,Grassland,2.867,#N/A,#N/A,
44836,Warm Temperate,Dry,South-Eastern Asia,Other Land (Non-Vegetated),0,#N/A,#N/A,
44837,Warm Temperate,Dry,South-Eastern Asia,Settlement,0,#N/A,#N/A,
44838,Warm Temperate,Dry,South-Eastern Asia,Agroforestry - Default,20.6,5.15,36.05,
44839,Warm Temperate,Dry,South-Eastern Asia,Hedgerow,13.1,9.301,16.899,
44840,Warm Temperate,Dry,South-Eastern Asia,Silvoarable,13.7,3.425,23.975,
44841,Warm Temperate,Dry,South-Eastern Asia,Silvopasture,35,8.75,61.25,
44842,Warm Temperate,Dry,South-Eastern Asia,Other Land,1,#N/A,#N/A,
44843,Warm Temperate,Dry,South-Eastern Asia,Olive,6.9,1.725,12.075,
44844,Warm Temperate,Dry,South-Eastern Asia,Orchard,6.4,1.6,11.2,
44845,Warm Temperate,Dry,South-Eastern Asia,Short Rotation Coppice,6.35,1.5875,11.1125,
44846,Warm Temperate,Dry,South-Eastern Asia,Tea,18.3,4.575,32.025,
44847,Warm Temperate,Dry,South-Eastern Asia,Vine,2.8,2.1,3.5,
44848,Warm Temperate,Dry,Southern Asia,Grains,4.7,1.175,8.225,
44849,Warm Temperate,Dry,Southern Asia,Maize,4.7,1.175,8.225,
44850,Warm Temperate,Dry,Southern Asia,Sugarcane,4.7,1.175,8.225,
44851,Warm Temperate,Dry,Southern Asia,Wheat,4.7,1.175,8.225,
44852,Warm Temperate,Dry,Southern Asia,Beans & Pulses,4.7,1.175,8.225,
44853,Warm Temperate,Dry,Southern Asia,Tubers,4.7,1.175,8.225,
44854,Warm Temperate,Dry,Southern Asia,Root Crops,4.7,1.175,8.225,
44855,Warm Temperate,Dry,Southern Asia,Barley,4.7,1.175,8.225,
44856,Warm Temperate,Dry,Southern Asia,Oats,4.7,1.175,8.225,
44857,Warm Temperate,Dry,Southern Asia,Millet,4.7,1.175,8.225,
44858,Warm Temperate,Dry,Southern Asia,Sorghum,4.7,1.175,8.225,
44859,Warm Temperate,Dry,Southern Asia,Rye,4.7,1.175,8.225,
44860,Warm Temperate,Dry,Southern Asia,Soybeans,4.7,1.175,8.225,
44861,Warm Temperate,Dry,Southern Asia,Dry Bean,4.7,1.175,8.225,
44862,Warm Temperate,Dry,Southern Asia,Potatoes,4.7,1.175,8.225,
44863,Warm Temperate,Dry,Southern Asia,Peanuts,4.7,1.175,8.225,
44864,Warm Temperate,Dry,Southern Asia,Vegetables,4.7,1.175,8.225,
44865,Warm Temperate,Dry,Southern Asia,Oilseeds,4.7,1.175,8.225,
44866,Warm Temperate,Dry,Southern Asia,Groundnuts,4.7,1.175,8.225,
44867,Warm Temperate,Dry,Southern Asia,Annual Cropland,4.7,1.175,8.225,
44868,Warm Temperate,Dry,Southern Asia,Set Aside,4.7,1.175,8.225,
44869,Warm Temperate,Dry,Southern Asia,Flooded Rice,4.7,1.175,8.225,
44870,Warm Temperate,Dry,Southern Asia,Grassland,2.867,#N/A,#N/A,
44871,Warm Temperate,Dry,Southern Asia,Other Land (Non-Vegetated),0,#N/A,#N/A,
44872,Warm Temperate,Dry,Southern Asia,Settlement,0,#N/A,#N/A,
44873,Warm Temperate,Dry,Southern Asia,Agroforestry - Default,20.6,5.15,36.05,
44874,Warm Temperate,Dry,Southern Asia,Hedgerow,13.1,9.301,16.899,
44875,Warm Temperate,Dry,Southern Asia,Silvoarable,13.7,3.425,23.975,
44876,Warm Temperate,Dry,Southern Asia,Silvopasture,35,8.75,61.25,
44877,Warm Temperate,Dry,Southern Asia,Other Land,1,#N/A,#N/A,
44878,Warm Temperate,Dry,Southern Asia,Olive,6.9,1.725,12.075,
44879,Warm Temperate,Dry,Southern Asia,Orchard,6.4,1.6,11.2,
44880,Warm Temperate,Dry,Southern Asia,Short Rotation Coppice,6.35,1.5875,11.1125,
44881,Warm Temperate,Dry,Southern Asia,Tea,18.3,4.575,32.025,
44882,Warm Temperate,Dry,Southern Asia,Vine,2.8,2.1,3.5,
44883,Warm Temperate,Dry,Western Asia,Grains,4.7,1.175,8.225,
44884,Warm Temperate,Dry,Western Asia,Maize,4.7,1.175,8.225,
44885,Warm Temperate,Dry,Western Asia,Sugarcane,4.7,1.175,8.225,
44886,Warm Temperate,Dry,Western Asia,Wheat,4.7,1.175,8.225,
44887,Warm Temperate,Dry,Western Asia,Beans & Pulses,4.7,1.175,8.225,
44888,Warm Temperate,Dry,Western Asia,Tubers,4.7,1.175,8.225,
44889,Warm Temperate,Dry,Western Asia,Root Crops,4.7,1.175,8.225,
44890,Warm Temperate,Dry,Western Asia,Barley,4.7,1.175,8.225,
44891,Warm Temperate,Dry,Western Asia,Oats,4.7,1.175,8.225,
44892,Warm Temperate,Dry,Western Asia,Millet,4.7,1.175,8.225,
44893,Warm Temperate,Dry,Western Asia,Sorghum,4.7,1.175,8.225,
44894,Warm Temperate,Dry,Western Asia,Rye,4.7,1.175,8.225,
44895,Warm Temperate,Dry,Western Asia,Soybeans,4.7,1.175,8.225,
44896,Warm Temperate,Dry,Western Asia,Dry Bean,4.7,1.175,8.225,
44897,Warm Temperate,Dry,Western Asia,Potatoes,4.7,1.175,8.225,
44898,Warm Temperate,Dry,Western Asia,Peanuts,4.7,1.175,8.225,
44899,Warm Temperate,Dry,Western Asia,Vegetables,4.7,1.175,8.225,
44900,Warm Temperate,Dry,Western Asia,Oilseeds,4.7,1.175,8.225,
44901,Warm Temperate,Dry,Western Asia,Groundnuts,4.7,1.175,8.225,
44902,Warm Temperate,Dry,Western Asia,Annual Cropland,4.7,1.175,8.225,
44903,Warm Temperate,Dry,Western Asia,Set Aside,4.7,1.175,8.225,
44904,Warm Temperate,Dry,Western Asia,Flooded Rice,4.7,1.175,8.225,
44905,Warm Temperate,Dry,Western Asia,Grassland,2.867,#N/A,#N/A,
44906,Warm Temperate,Dry,Western Asia,Other Land (Non-Vegetated),0,#N/A,#N/A,
44907,Warm Temperate,Dry,Western Asia,Settlement,0,#N/A,#N/A,
44908,Warm Temperate,Dry,Western Asia,Agroforestry - Default,20.6,5.15,36.05,
44909,Warm Temperate,Dry,Western Asia,Hedgerow,13.1,9.301,16.899,
44910,Warm Temperate,Dry,Western Asia,Silvoarable,13.7,3.425,23.975,
44911,Warm Temperate,Dry,Western Asia,Silvopasture,35,8.75,61.25,
44912,Warm Temperate,Dry,Western Asia,Other Land,1,#N/A,#N/A,
44913,Warm Temperate,Dry,Western Asia,Olive,6.9,1.725,12.075,
44914,Warm Temperate,Dry,Western Asia,Orchard,6.4,1.6,11.2,
44915,Warm Temperate,Dry,Western Asia,Short Rotation Coppice,6.35,1.5875,11.1125,
44916,Warm Temperate,Dry,Western Asia,Tea,18.3,4.575,32.025,
44917,Warm Temperate,Dry,Western Asia,Vine,2.8,2.1,3.5,
44918,Warm Temperate,Dry,Europe,Grains,4.7,1.175,8.225,
44919,Warm Temperate,Dry,Europe,Maize,4.7,1.175,8.225,
44920,Warm Temperate,Dry,Europe,Sugarcane,4.7,1.175,8.225,
44921,Warm Temperate,Dry,Europe,Wheat,4.7,1.175,8.225,
44922,Warm Temperate,Dry,Europe,Beans & Pulses,4.7,1.175,8.225,
44923,Warm Temperate,Dry,Europe,Tubers,4.7,1.175,8.225,
44924,Warm Temperate,Dry,Europe,Root Crops,4.7,1.175,8.225,
44925,Warm Temperate,Dry,Europe,Barley,4.7,1.175,8.225,
44926,Warm Temperate,Dry,Europe,Oats,4.7,1.175,8.225,
44927,Warm Temperate,Dry,Europe,Millet,4.7,1.175,8.225,
44928,Warm Temperate,Dry,Europe,Sorghum,4.7,1.175,8.225,
44929,Warm Temperate,Dry,Europe,Rye,4.7,1.175,8.225,
44930,Warm Temperate,Dry,Europe,Soybeans,4.7,1.175,8.225,
44931,Warm Temperate,Dry,Europe,Dry Bean,4.7,1.175,8.225,
44932,Warm Temperate,Dry,Europe,Potatoes,4.7,1.175,8.225,
44933,Warm Temperate,Dry,Europe,Peanuts,4.7,1.175,8.225,
44934,Warm Temperate,Dry,Europe,Vegetables,4.7,1.175,8.225,
44935,Warm Temperate,Dry,Europe,Oilseeds,4.7,1.175,8.225,
44936,Warm Temperate,Dry,Europe,Groundnuts,4.7,1.175,8.225,
44937,Warm Temperate,Dry,Europe,Annual Cropland,4.7,1.175,8.225,
44938,Warm Temperate,Dry,Europe,Set Aside,4.7,1.175,8.225,
44939,Warm Temperate,Dry,Europe,Flooded Rice,4.7,1.175,8.225,
44940,Warm Temperate,Dry,Europe,Grassland,2.867,#N/A,#N/A,
44941,Warm Temperate,Dry,Europe,Other Land (Non-Vegetated),0,#N/A,#N/A,
44942,Warm Temperate,Dry,Europe,Settlement,0,#N/A,#N/A,
44943,Warm Temperate,Dry,Europe,Agroforestry - Default,20.6,5.15,36.05,
44944,Warm Temperate,Dry,Europe,Hedgerow,13.1,9.301,16.899,
44945,Warm Temperate,Dry,Europe,Silvoarable,13.7,3.425,23.975,
44946,Warm Temperate,Dry,Europe,Silvopasture,35,8.75,61.25,
44947,Warm Temperate,Dry,Europe,Other Land,1,#N/A,#N/A,
44948,Warm Temperate,Dry,Europe,Olive,6.9,1.725,12.075,
44949,Warm Temperate,Dry,Europe,Orchard,6.4,1.6,11.2,
44950,Warm Temperate,Dry,Europe,Short Rotation Coppice,6.35,1.5875,11.1125,
44951,Warm Temperate,Dry,Europe,Tea,18.3,4.575,32.025,
44952,Warm Temperate,Dry,Europe,Vine,2.8,2.1,3.5,
44953,Warm Temperate,Dry,Oceania,Grains,4.7,1.175,8.225,
44954,Warm Temperate,Dry,Oceania,Maize,4.7,1.175,8.225,
44955,Warm Temperate,Dry,Oceania,Sugarcane,4.7,1.175,8.225,
44956,Warm Temperate,Dry,Oceania,Wheat,4.7,1.175,8.225,
44957,Warm Temperate,Dry,Oceania,Beans & Pulses,4.7,1.175,8.225,
44958,Warm Temperate,Dry,Oceania,Tubers,4.7,1.175,8.225,
44959,Warm Temperate,Dry,Oceania,Root Crops,4.7,1.175,8.225,
44960,Warm Temperate,Dry,Oceania,Barley,4.7,1.175,8.225,
44961,Warm Temperate,Dry,Oceania,Oats,4.7,1.175,8.225,
44962,Warm Temperate,Dry,Oceania,Millet,4.7,1.175,8.225,
44963,Warm Temperate,Dry,Oceania,Sorghum,4.7,1.175,8.225,
44964,Warm Temperate,Dry,Oceania,Rye,4.7,1.175,8.225,
44965,Warm Temperate,Dry,Oceania,Soybeans,4.7,1.175,8.225,
44966,Warm Temperate,Dry,Oceania,Dry Bean,4.7,1.175,8.225,
44967,Warm Temperate,Dry,Oceania,Potatoes,4.7,1.175,8.225,
44968,Warm Temperate,Dry,Oceania,Peanuts,4.7,1.175,8.225,
44969,Warm Temperate,Dry,Oceania,Vegetables,4.7,1.175,8.225,
44970,Warm Temperate,Dry,Oceania,Oilseeds,4.7,1.175,8.225,
44971,Warm Temperate,Dry,Oceania,Groundnuts,4.7,1.175,8.225,
44972,Warm Temperate,Dry,Oceania,Annual Cropland,4.7,1.175,8.225,
44973,Warm Temperate,Dry,Oceania,Set Aside,4.7,1.175,8.225,
44974,Warm Temperate,Dry,Oceania,Flooded Rice,4.7,1.175,8.225,
44975,Warm Temperate,Dry,Oceania,Grassland,2.867,#N/A,#N/A,
44976,Warm Temperate,Dry,Oceania,Other Land (Non-Vegetated),0,#N/A,#N/A,
44977,Warm Temperate,Dry,Oceania,Settlement,0,#N/A,#N/A,
44978,Warm Temperate,Dry,Oceania,Agroforestry - Default,20.6,5.15,36.05,
44979,Warm Temperate,Dry,Oceania,Hedgerow,13.1,9.301,16.899,
44980,Warm Temperate,Dry,Oceania,Silvoarable,13.7,3.425,23.975,
44981,Warm Temperate,Dry,Oceania,Silvopasture,35,8.75,61.25,
44982,Warm Temperate,Dry,Oceania,Other Land,1,#N/A,#N/A,
44983,Warm Temperate,Dry,Oceania,Olive,6.9,1.725,12.075,
44984,Warm Temperate,Dry,Oceania,Orchard,6.4,1.6,11.2,
44985,Warm Temperate,Dry,Oceania,Short Rotation Coppice,6.35,1.5875,11.1125,
44986,Warm Temperate,Dry,Oceania,Tea,18.3,4.575,32.025,
44987,Warm Temperate,Dry,Oceania,Vine,2.8,2.1,3.5,
44988,Warm Temperate,Dry,North America,Grains,4.7,1.175,8.225,
44989,Warm Temperate,Dry,North America,Maize,4.7,1.175,8.225,
44990,Warm Temperate,Dry,North America,Sugarcane,4.7,1.175,8.225,
44991,Warm Temperate,Dry,North America,Wheat,4.7,1.175,8.225,
44992,Warm Temperate,Dry,North America,Beans & Pulses,4.7,1.175,8.225,
44993,Warm Temperate,Dry,North America,Tubers,4.7,1.175,8.225,
44994,Warm Temperate,Dry,North America,Root Crops,4.7,1.175,8.225,
44995,Warm Temperate,Dry,North America,Barley,4.7,1.175,8.225,
44996,Warm Temperate,Dry,North America,Oats,4.7,1.175,8.225,
44997,Warm Temperate,Dry,North America,Millet,4.7,1.175,8.225,
44998,Warm Temperate,Dry,North America,Sorghum,4.7,1.175,8.225,
44999,Warm Temperate,Dry,North America,Rye,4.7,1.175,8.225,
45000,Warm Temperate,Dry,North America,Soybeans,4.7,1.175,8.225,
45001,Warm Temperate,Dry,North America,Dry Bean,4.7,1.175,8.225,
45002,Warm Temperate,Dry,North America,Potatoes,4.7,1.175,8.225,
45003,Warm Temperate,Dry,North America,Peanuts,4.7,1.175,8.225,
45004,Warm Temperate,Dry,North America,Vegetables,4.7,1.175,8.225,
45005,Warm Temperate,Dry,North America,Oilseeds,4.7,1.175,8.225,
45006,Warm Temperate,Dry,North America,Groundnuts,4.7,1.175,8.225,
45007,Warm Temperate,Dry,North America,Annual Cropland,4.7,1.175,8.225,
45008,Warm Temperate,Dry,North America,Set Aside,4.7,1.175,8.225,
45009,Warm Temperate,Dry,North America,Flooded Rice,4.7,1.175,8.225,
45010,Warm Temperate,Dry,North America,Grassland,2.867,#N/A,#N/A,
45011,Warm Temperate,Dry,North America,Other Land (Non-Vegetated),0,#N/A,#N/A,
45012,Warm Temperate,Dry,North America,Settlement,0,#N/A,#N/A,
45013,Warm Temperate,Dry,North America,Agroforestry - Default,20.6,5.15,36.05,
45014,Warm Temperate,Dry,North America,Hedgerow,13.1,9.301,16.899,
45015,Warm Temperate,Dry,North America,Silvoarable,13.7,3.425,23.975,
45016,Warm Temperate,Dry,North America,Silvopasture,35,8.75,61.25,
45017,Warm Temperate,Dry,North America,Other Land,1,#N/A,#N/A,
45018,Warm Temperate,Dry,North America,Olive,6.9,1.725,12.075,
45019,Warm Temperate,Dry,North America,Orchard,6.4,1.6,11.2,
45020,Warm Temperate,Dry,North America,Short Rotation Coppice,6.35,1.5875,11.1125,
45021,Warm Temperate,Dry,North America,Tea,18.3,4.575,32.025,
45022,Warm Temperate,Dry,North America,Vine,2.8,2.1,3.5,
45023,Warm Temperate,Dry,South America,Grains,4.7,1.175,8.225,
45024,Warm Temperate,Dry,South America,Maize,4.7,1.175,8.225,
45025,Warm Temperate,Dry,South America,Sugarcane,4.7,1.175,8.225,
45026,Warm Temperate,Dry,South America,Wheat,4.7,1.175,8.225,
45027,Warm Temperate,Dry,South America,Beans & Pulses,4.7,1.175,8.225,
45028,Warm Temperate,Dry,South America,Tubers,4.7,1.175,8.225,
45029,Warm Temperate,Dry,South America,Root Crops,4.7,1.175,8.225,
45030,Warm Temperate,Dry,South America,Barley,4.7,1.175,8.225,
45031,Warm Temperate,Dry,South America,Oats,4.7,1.175,8.225,
45032,Warm Temperate,Dry,South America,Millet,4.7,1.175,8.225,
45033,Warm Temperate,Dry,South America,Sorghum,4.7,1.175,8.225,
45034,Warm Temperate,Dry,South America,Rye,4.7,1.175,8.225,
45035,Warm Temperate,Dry,South America,Soybeans,4.7,1.175,8.225,
45036,Warm Temperate,Dry,South America,Dry Bean,4.7,1.175,8.225,
45037,Warm Temperate,Dry,South America,Potatoes,4.7,1.175,8.225,
45038,Warm Temperate,Dry,South America,Peanuts,4.7,1.175,8.225,
45039,Warm Temperate,Dry,South America,Vegetables,4.7,1.175,8.225,
45040,Warm Temperate,Dry,South America,Oilseeds,4.7,1.175,8.225,
45041,Warm Temperate,Dry,South America,Groundnuts,4.7,1.175,8.225,
45042,Warm Temperate,Dry,South America,Annual Cropland,4.7,1.175,8.225,
45043,Warm Temperate,Dry,South America,Set Aside,4.7,1.175,8.225,
45044,Warm Temperate,Dry,South America,Flooded Rice,4.7,1.175,8.225,
45045,Warm Temperate,Dry,South America,Grassland,2.867,#N/A,#N/A,
45046,Warm Temperate,Dry,South America,Other Land (Non-Vegetated),0,#N/A,#N/A,
45047,Warm Temperate,Dry,South America,Settlement,0,#N/A,#N/A,
45048,Warm Temperate,Dry,South America,Agroforestry - Default,20.6,5.15,36.05,
45049,Warm Temperate,Dry,South America,Hedgerow,13.1,9.301,16.899,
45050,Warm Temperate,Dry,South America,Silvoarable,13.7,3.425,23.975,
45051,Warm Temperate,Dry,South America,Silvopasture,35,8.75,61.25,
45052,Warm Temperate,Dry,South America,Other Land,1,#N/A,#N/A,
45053,Warm Temperate,Dry,South America,Olive,6.9,1.725,12.075,
45054,Warm Temperate,Dry,South America,Orchard,6.4,1.6,11.2,
45055,Warm Temperate,Dry,South America,Short Rotation Coppice,6.35,1.5875,11.1125,
45056,Warm Temperate,Dry,South America,Tea,18.3,4.575,32.025,
45057,Warm Temperate,Dry,South America,Vine,2.8,2.1,3.5,
45058,Warm Temperate,Dry,Central America,Grains,4.7,1.175,8.225,
45059,Warm Temperate,Dry,Central America,Maize,4.7,1.175,8.225,
45060,Warm Temperate,Dry,Central America,Sugarcane,4.7,1.175,8.225,
45061,Warm Temperate,Dry,Central America,Wheat,4.7,1.175,8.225,
45062,Warm Temperate,Dry,Central America,Beans & Pulses,4.7,1.175,8.225,
45063,Warm Temperate,Dry,Central America,Tubers,4.7,1.175,8.225,
45064,Warm Temperate,Dry,Central America,Root Crops,4.7,1.175,8.225,
45065,Warm Temperate,Dry,Central America,Barley,4.7,1.175,8.225,
45066,Warm Temperate,Dry,Central America,Oats,4.7,1.175,8.225,
45067,Warm Temperate,Dry,Central America,Millet,4.7,1.175,8.225,
45068,Warm Temperate,Dry,Central America,Sorghum,4.7,1.175,8.225,
45069,Warm Temperate,Dry,Central America,Rye,4.7,1.175,8.225,
45070,Warm Temperate,Dry,Central America,Soybeans,4.7,1.175,8.225,
45071,Warm Temperate,Dry,Central America,Dry Bean,4.7,1.175,8.225,
45072,Warm Temperate,Dry,Central America,Potatoes,4.7,1.175,8.225,
45073,Warm Temperate,Dry,Central America,Peanuts,4.7,1.175,8.225,
45074,Warm Temperate,Dry,Central America,Vegetables,4.7,1.175,8.225,
45075,Warm Temperate,Dry,Central America,Oilseeds,4.7,1.175,8.225,
