id,summary,climate,moisture,continent,land_use_type,value (original),totalbiomass,totalbiomass_min,totalbiomass_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, tables 5.1, 5.2, 5.3, 5.9, and Source: 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2006), Volume 4 AFOLU, table 6.4.",,,
,Cool Temperate | Dry | Eastern Africa | Grains,Cool Temperate,Dry,Eastern Africa,Grains,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | North America | Beans & Pulses,Cool Temperate,Moist,North America,Beans & Pulses,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | North America | Tubers,Cool Temperate,Moist,North America,Tubers,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | North America | Root Crops,Cool Temperate,Moist,North America,Root Crops,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | North America | Barley,Cool Temperate,Moist,North America,Barley,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | North America | Oats,Cool Temperate,Moist,North America,Oats,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | North America | Millet,Cool Temperate,Moist,North America,Millet,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | North America | Sorghum,Cool Temperate,Moist,North America,Sorghum,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | North America | Rye,Cool Temperate,Moist,North America,Rye,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | North America | Soybeans,Cool Temperate,Moist,North America,Soybeans,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | North America | Dry Bean,Cool Temperate,Moist,North America,Dry Bean,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | North America | Potatoes,Cool Temperate,Moist,North America,Potatoes,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | North America | Peanuts,Cool Temperate,Moist,North America,Peanuts,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | North America | Vegetables,Cool Temperate,Moist,North America,Vegetables,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | North America | Oilseeds,Cool Temperate,Moist,North America,Oilseeds,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | North America | Groundnuts,Cool Temperate,Moist,North America,Groundnuts,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | North America | Annual Cropland,Cool Temperate,Moist,North America,Annual Cropland,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | North America | Set Aside,Cool Temperate,Moist,North America,Set Aside,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | North America | Flooded Rice,Cool Temperate,Moist,North America,Flooded Rice,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | North America | Grassland,Cool Temperate,Moist,North America,Grassland,6.392,6.392,1.598,11.186,,,,
,Cool Temperate | Moist | North America | Other Land (Non-Vegetated),Cool Temperate,Moist,North America,Other Land (Non-Vegetated),0,0,#N/A,#N/A,,,,
,Cool Temperate | Moist | North America | Settlement,Cool Temperate,Moist,North America,Settlement,0,0,#N/A,#N/A,,,,
,Cool Temperate | Moist | North America | Agroforestry - Default,Cool Temperate,Moist,North America,Agroforestry - Default,0.97,0.97,0.3625,1.5775,,,,
,Cool Temperate | Moist | North America | Hedgerow,Cool Temperate,Moist,North America,Hedgerow,1.1,1.1,0.6737,1.5263,,,,
,Cool Temperate | Moist | North America | Silvoarable,Cool Temperate,Moist,North America,Silvoarable,0.73,0.73,0.5589,0.9011,,,,
,Cool Temperate | Moist | North America | Silvopasture,Cool Temperate,Moist,North America,Silvopasture,1.08,1.08,0.3525,1.8075,,,,
,Cool Temperate | Moist | North America | Other Land,Cool Temperate,Moist,North America,Other Land,0,0,#N/A,#N/A,,,,
,Cool Temperate | Moist | North America | Olive,Cool Temperate,Moist,North America,Olive,0.46,0.46,0.3358,0.5842,,,,
,Cool Temperate | Moist | North America | Orchard,Cool Temperate,Moist,North America,Orchard,0.43,0.43,0.2322,0.6278,,,,
,Cool Temperate | Moist | North America | Short Rotation Coppice,Cool Temperate,Moist,North America,Short Rotation Coppice,3.2,3.2,1.92,4.48,,,,
,Cool Temperate | Moist | North America | Tea,Cool Temperate,Moist,North America,Tea,0.7,0.7,0.525,0.875,,,,
,Cool Temperate | Moist | North America | Vine,Cool Temperate,Moist,North America,Vine,0.28,0.28,0.2072,0.3528,,,,
,Cool Temperate | Moist | North America | Oil Palm,Cool Temperate,Moist,North America,Oil Palm,0,0,#N/A,#N/A,,,,
,Cool Temperate | Moist | North America | Rubber,Cool Temperate,Moist,North America,Rubber,0,0,#N/A,#N/A,,,,
,Cool Temperate | Moist | South America | Grains,Cool Temperate,Moist,South America,Grains,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | South America | Maize,Cool Temperate,Moist,South America,Maize,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | South America | Sugarcane,Cool Temperate,Moist,South America,Sugarcane,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | South America | Wheat,Cool Temperate,Moist,South America,Wheat,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | South America | Beans & Pulses,Cool Temperate,Moist,South America,Beans & Pulses,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | South America | Tubers,Cool Temperate,Moist,South America,Tubers,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | South America | Root Crops,Cool Temperate,Moist,South America,Root Crops,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | South America | Barley,Cool Temperate,Moist,South America,Barley,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | South America | Oats,Cool Temperate,Moist,South America,Oats,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | South America | Millet,Cool Temperate,Moist,South America,Millet,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | South America | Sorghum,Cool Temperate,Moist,South America,Sorghum,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | South America | Rye,Cool Temperate,Moist,South America,Rye,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | South America | Soybeans,Cool Temperate,Moist,South America,Soybeans,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | South America | Dry Bean,Cool Temperate,Moist,South America,Dry Bean,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | South America | Potatoes,Cool Temperate,Moist,South America,Potatoes,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | South America | Peanuts,Cool Temperate,Moist,South America,Peanuts,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | South America | Vegetables,Cool Temperate,Moist,South America,Vegetables,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | South America | Oilseeds,Cool Temperate,Moist,South America,Oilseeds,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | South America | Groundnuts,Cool Temperate,Moist,South America,Groundnuts,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | South America | Annual Cropland,Cool Temperate,Moist,South America,Annual Cropland,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | South America | Set Aside,Cool Temperate,Moist,South America,Set Aside,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | South America | Flooded Rice,Cool Temperate,Moist,South America,Flooded Rice,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | South America | Grassland,Cool Temperate,Moist,South America,Grassland,6.392,6.392,1.598,11.186,,,,
,Cool Temperate | Moist | South America | Other Land (Non-Vegetated),Cool Temperate,Moist,South America,Other Land (Non-Vegetated),0,0,#N/A,#N/A,,,,
,Cool Temperate | Moist | South America | Settlement,Cool Temperate,Moist,South America,Settlement,0,0,#N/A,#N/A,,,,
,Cool Temperate | Moist | South America | Agroforestry - Default,Cool Temperate,Moist,South America,Agroforestry - Default,1.4,1.4,0.6075,2.1925,,,,
,Cool Temperate | Moist | South America | Hedgerow,Cool Temperate,Moist,South America,Hedgerow,1.1,1.1,0.6737,1.5263,,,,
,Cool Temperate | Moist | South America | Silvoarable,Cool Temperate,Moist,South America,Silvoarable,1.4,1.4,0.7056,2.0944,,,,
,Cool Temperate | Moist | South America | Silvopasture,Cool Temperate,Moist,South America,Silvopasture,1.7,1.7,0.815,2.585,,,,
,Cool Temperate | Moist | South America | Other Land,Cool Temperate,Moist,South America,Other Land,0,0,#N/A,#N/A,,,,
,Cool Temperate | Moist | South America | Olive,Cool Temperate,Moist,South America,Olive,0.46,0.46,0.3358,0.5842,,,,
,Cool Temperate | Moist | South America | Orchard,Cool Temperate,Moist,South America,Orchard,0.43,0.43,0.2322,0.6278,,,,
,Cool Temperate | Moist | South America | Short Rotation Coppice,Cool Temperate,Moist,South America,Short Rotation Coppice,3.2,3.2,1.92,4.48,,,,
,Cool Temperate | Moist | South America | Tea,Cool Temperate,Moist,South America,Tea,0.7,0.7,0.525,0.875,,,,
,Cool Temperate | Moist | South America | Vine,Cool Temperate,Moist,South America,Vine,0.28,0.28,0.2072,0.3528,,,,
,Cool Temperate | Moist | South America | Oil Palm,Cool Temperate,Moist,South America,Oil Palm,0,0,#N/A,#N/A,,,,
,Cool Temperate | Moist | South America | Rubber,Cool Temperate,Moist,South America,Rubber,0,0,#N/A,#N/A,,,,
,Cool Temperate | Moist | Central America | Grains,Cool Temperate,Moist,Central America,Grains,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Central America | Maize,Cool Temperate,Moist,Central America,Maize,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Central America | Sugarcane,Cool Temperate,Moist,Central America,Sugarcane,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Central America | Wheat,Cool Temperate,Moist,Central America,Wheat,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Central America | Beans & Pulses,Cool Temperate,Moist,Central America,Beans & Pulses,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Central America | Tubers,Cool Temperate,Moist,Central America,Tubers,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Central America | Root Crops,Cool Temperate,Moist,Central America,Root Crops,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Central America | Barley,Cool Temperate,Moist,Central America,Barley,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Central America | Oats,Cool Temperate,Moist,Central America,Oats,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Central America | Millet,Cool Temperate,Moist,Central America,Millet,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Central America | Sorghum,Cool Temperate,Moist,Central America,Sorghum,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Central America | Rye,Cool Temperate,Moist,Central America,Rye,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Central America | Soybeans,Cool Temperate,Moist,Central America,Soybeans,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Central America | Dry Bean,Cool Temperate,Moist,Central America,Dry Bean,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Central America | Potatoes,Cool Temperate,Moist,Central America,Potatoes,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Central America | Peanuts,Cool Temperate,Moist,Central America,Peanuts,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Central America | Vegetables,Cool Temperate,Moist,Central America,Vegetables,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Central America | Oilseeds,Cool Temperate,Moist,Central America,Oilseeds,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Central America | Groundnuts,Cool Temperate,Moist,Central America,Groundnuts,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Central America | Annual Cropland,Cool Temperate,Moist,Central America,Annual Cropland,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Central America | Set Aside,Cool Temperate,Moist,Central America,Set Aside,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Central America | Flooded Rice,Cool Temperate,Moist,Central America,Flooded Rice,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Central America | Grassland,Cool Temperate,Moist,Central America,Grassland,6.392,6.392,1.598,11.186,,,,
,Cool Temperate | Moist | Central America | Other Land (Non-Vegetated),Cool Temperate,Moist,Central America,Other Land (Non-Vegetated),0,0,#N/A,#N/A,,,,
,Cool Temperate | Moist | Central America | Settlement,Cool Temperate,Moist,Central America,Settlement,0,0,#N/A,#N/A,,,,
,Cool Temperate | Moist | Central America | Agroforestry - Default,Cool Temperate,Moist,Central America,Agroforestry - Default,1.4,1.4,0.6075,2.1925,,,,
,Cool Temperate | Moist | Central America | Hedgerow,Cool Temperate,Moist,Central America,Hedgerow,1.1,1.1,0.6737,1.5263,,,,
,Cool Temperate | Moist | Central America | Silvoarable,Cool Temperate,Moist,Central America,Silvoarable,1.4,1.4,0.7056,2.0944,,,,
,Cool Temperate | Moist | Central America | Silvopasture,Cool Temperate,Moist,Central America,Silvopasture,1.7,1.7,0.815,2.585,,,,
,Cool Temperate | Moist | Central America | Other Land,Cool Temperate,Moist,Central America,Other Land,0,0,#N/A,#N/A,,,,
,Cool Temperate | Moist | Central America | Olive,Cool Temperate,Moist,Central America,Olive,0.46,0.46,0.3358,0.5842,,,,
,Cool Temperate | Moist | Central America | Orchard,Cool Temperate,Moist,Central America,Orchard,0.43,0.43,0.2322,0.6278,,,,
,Cool Temperate | Moist | Central America | Short Rotation Coppice,Cool Temperate,Moist,Central America,Short Rotation Coppice,3.2,3.2,1.92,4.48,,,,
,Cool Temperate | Moist | Central America | Tea,Cool Temperate,Moist,Central America,Tea,0.7,0.7,0.525,0.875,,,,
,Cool Temperate | Moist | Central America | Vine,Cool Temperate,Moist,Central America,Vine,0.28,0.28,0.2072,0.3528,,,,
,Cool Temperate | Moist | Central America | Oil Palm,Cool Temperate,Moist,Central America,Oil Palm,0,0,#N/A,#N/A,,,,
,Cool Temperate | Moist | Central America | Rubber,Cool Temperate,Moist,Central America,Rubber,0,0,#N/A,#N/A,,,,
,Cool Temperate | Moist | Caribbean | Grains,Cool Temperate,Moist,Caribbean,Grains,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Caribbean | Maize,Cool Temperate,Moist,Caribbean,Maize,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Caribbean | Sugarcane,Cool Temperate,Moist,Caribbean,Sugarcane,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Caribbean | Wheat,Cool Temperate,Moist,Caribbean,Wheat,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Caribbean | Beans & Pulses,Cool Temperate,Moist,Caribbean,Beans & Pulses,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Caribbean | Tubers,Cool Temperate,Moist,Caribbean,Tubers,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Caribbean | Root Crops,Cool Temperate,Moist,Caribbean,Root Crops,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Caribbean | Barley,Cool Temperate,Moist,Caribbean,Barley,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Caribbean | Oats,Cool Temperate,Moist,Caribbean,Oats,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Caribbean | Millet,Cool Temperate,Moist,Caribbean,Millet,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Caribbean | Sorghum,Cool Temperate,Moist,Caribbean,Sorghum,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Caribbean | Rye,Cool Temperate,Moist,Caribbean,Rye,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Caribbean | Soybeans,Cool Temperate,Moist,Caribbean,Soybeans,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Caribbean | Dry Bean,Cool Temperate,Moist,Caribbean,Dry Bean,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Caribbean | Potatoes,Cool Temperate,Moist,Caribbean,Potatoes,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Caribbean | Peanuts,Cool Temperate,Moist,Caribbean,Peanuts,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Caribbean | Vegetables,Cool Temperate,Moist,Caribbean,Vegetables,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Caribbean | Oilseeds,Cool Temperate,Moist,Caribbean,Oilseeds,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Caribbean | Groundnuts,Cool Temperate,Moist,Caribbean,Groundnuts,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Caribbean | Annual Cropland,Cool Temperate,Moist,Caribbean,Annual Cropland,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Caribbean | Set Aside,Cool Temperate,Moist,Caribbean,Set Aside,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Caribbean | Flooded Rice,Cool Temperate,Moist,Caribbean,Flooded Rice,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Moist | Caribbean | Grassland,Cool Temperate,Moist,Caribbean,Grassland,6.392,6.392,1.598,11.186,,,,
,Cool Temperate | Moist | Caribbean | Other Land (Non-Vegetated),Cool Temperate,Moist,Caribbean,Other Land (Non-Vegetated),0,0,#N/A,#N/A,,,,
,Cool Temperate | Moist | Caribbean | Settlement,Cool Temperate,Moist,Caribbean,Settlement,0,0,#N/A,#N/A,,,,
,Cool Temperate | Moist | Caribbean | Agroforestry - Default,Cool Temperate,Moist,Caribbean,Agroforestry - Default,1.4,1.4,0.6075,2.1925,,,,
,Cool Temperate | Moist | Caribbean | Hedgerow,Cool Temperate,Moist,Caribbean,Hedgerow,1.1,1.1,0.6737,1.5263,,,,
,Cool Temperate | Moist | Caribbean | Silvoarable,Cool Temperate,Moist,Caribbean,Silvoarable,1.4,1.4,0.7056,2.0944,,,,
,Cool Temperate | Moist | Caribbean | Silvopasture,Cool Temperate,Moist,Caribbean,Silvopasture,1.7,1.7,0.815,2.585,,,,
,Cool Temperate | Moist | Caribbean | Other Land,Cool Temperate,Moist,Caribbean,Other Land,0,0,#N/A,#N/A,,,,
,Cool Temperate | Moist | Caribbean | Olive,Cool Temperate,Moist,Caribbean,Olive,0.46,0.46,0.3358,0.5842,,,,
,Cool Temperate | Moist | Caribbean | Orchard,Cool Temperate,Moist,Caribbean,Orchard,0.43,0.43,0.2322,0.6278,,,,
,Cool Temperate | Moist | Caribbean | Short Rotation Coppice,Cool Temperate,Moist,Caribbean,Short Rotation Coppice,3.2,3.2,1.92,4.48,,,,
,Cool Temperate | Moist | Caribbean | Tea,Cool Temperate,Moist,Caribbean,Tea,0.7,0.7,0.525,0.875,,,,
,Cool Temperate | Moist | Caribbean | Vine,Cool Temperate,Moist,Caribbean,Vine,0.28,0.28,0.2072,0.3528,,,,
,Cool Temperate | Moist | Caribbean | Oil Palm,Cool Temperate,Moist,Caribbean,Oil Palm,0,0,#N/A,#N/A,,,,
,Cool Temperate | Moist | Caribbean | Rubber,Cool Temperate,Moist,Caribbean,Rubber,0,0,#N/A,#N/A,,,,
,Warm Temperate | Dry | Eastern Africa | Grains,Warm Temperate,Dry,Eastern Africa,Grains,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Eastern Africa | Maize,Warm Temperate,Dry,Eastern Africa,Maize,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Eastern Africa | Sugarcane,Warm Temperate,Dry,Eastern Africa,Sugarcane,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Eastern Africa | Wheat,Warm Temperate,Dry,Eastern Africa,Wheat,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Eastern Africa | Beans & Pulses,Warm Temperate,Dry,Eastern Africa,Beans & Pulses,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Eastern Africa | Tubers,Warm Temperate,Dry,Eastern Africa,Tubers,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Eastern Africa | Root Crops,Warm Temperate,Dry,Eastern Africa,Root Crops,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Eastern Africa | Barley,Warm Temperate,Dry,Eastern Africa,Barley,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Eastern Africa | Oats,Warm Temperate,Dry,Eastern Africa,Oats,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Eastern Africa | Millet,Warm Temperate,Dry,Eastern Africa,Millet,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Eastern Africa | Sorghum,Warm Temperate,Dry,Eastern Africa,Sorghum,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Eastern Africa | Rye,Warm Temperate,Dry,Eastern Africa,Rye,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Eastern Africa | Soybeans,Warm Temperate,Dry,Eastern Africa,Soybeans,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Eastern Africa | Dry Bean,Warm Temperate,Dry,Eastern Africa,Dry Bean,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Eastern Africa | Potatoes,Warm Temperate,Dry,Eastern Africa,Potatoes,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Eastern Africa | Peanuts,Warm Temperate,Dry,Eastern Africa,Peanuts,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Eastern Africa | Vegetables,Warm Temperate,Dry,Eastern Africa,Vegetables,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Eastern Africa | Oilseeds,Warm Temperate,Dry,Eastern Africa,Oilseeds,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Eastern Africa | Groundnuts,Warm Temperate,Dry,Eastern Africa,Groundnuts,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Eastern Africa | Annual Cropland,Warm Temperate,Dry,Eastern Africa,Annual Cropland,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Eastern Africa | Set Aside,Warm Temperate,Dry,Eastern Africa,Set Aside,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Eastern Africa | Flooded Rice,Warm Temperate,Dry,Eastern Africa,Flooded Rice,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Eastern Africa | Grassland,Warm Temperate,Dry,Eastern Africa,Grassland,2.867,2.867,0.71675,5.01725,,,,
,Warm Temperate | Dry | Eastern Africa | Other Land (Non-Vegetated),Warm Temperate,Dry,Eastern Africa,Other Land (Non-Vegetated),0,0,#N/A,#N/A,,,,
,Warm Temperate | Dry | Eastern Africa | Settlement,Warm Temperate,Dry,Eastern Africa,Settlement,0,0,#N/A,#N/A,,,,
,Warm Temperate | Dry | Eastern Africa | Agroforestry - Default,Warm Temperate,Dry,Eastern Africa,Agroforestry - Default,1.756666667,1.756666667,1.016866667,2.496466667,,,,
,Warm Temperate | Dry | Eastern Africa | Hedgerow,Warm Temperate,Dry,Eastern Africa,Hedgerow,1.1,1.1,0.6737,1.5263,,,,
,Warm Temperate | Dry | Eastern Africa | Silvoarable,Warm Temperate,Dry,Eastern Africa,Silvoarable,1.14,1.14,0.6486,1.6314,,,,
,Warm Temperate | Dry | Eastern Africa | Silvopasture,Warm Temperate,Dry,Eastern Africa,Silvopasture,3.03,3.03,1.8184,4.2416,,,,
,Warm Temperate | Dry | Eastern Africa | Other Land,Warm Temperate,Dry,Eastern Africa,Other Land,0,0,#N/A,#N/A,,,,
,Warm Temperate | Dry | Eastern Africa | Olive,Warm Temperate,Dry,Eastern Africa,Olive,0.46,0.46,0.3358,0.5842,,,,
,Warm Temperate | Dry | Eastern Africa | Orchard,Warm Temperate,Dry,Eastern Africa,Orchard,0.43,0.43,0.2322,0.6278,,,,
,Warm Temperate | Dry | Eastern Africa | Short Rotation Coppice,Warm Temperate,Dry,Eastern Africa,Short Rotation Coppice,3.2,3.2,1.92,4.48,,,,
,Warm Temperate | Dry | Eastern Africa | Tea,Warm Temperate,Dry,Eastern Africa,Tea,0.7,0.7,0.525,0.875,,,,
,Warm Temperate | Dry | Eastern Africa | Vine,Warm Temperate,Dry,Eastern Africa,Vine,0.28,0.28,0.2072,0.3528,,,,
,Warm Temperate | Dry | Eastern Africa | Oil Palm,Warm Temperate,Dry,Eastern Africa,Oil Palm,0,0,#N/A,#N/A,,,,
,Warm Temperate | Dry | Eastern Africa | Rubber,Warm Temperate,Dry,Eastern Africa,Rubber,0,0,#N/A,#N/A,,,,
,Warm Temperate | Dry | Central Africa | Grains,Warm Temperate,Dry,Central Africa,Grains,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Central Africa | Maize,Warm Temperate,Dry,Central Africa,Maize,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Central Africa | Sugarcane,Warm Temperate,Dry,Central Africa,Sugarcane,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Central Africa | Wheat,Warm Temperate,Dry,Central Africa,Wheat,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Central Africa | Beans & Pulses,Warm Temperate,Dry,Central Africa,Beans & Pulses,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Central Africa | Tubers,Warm Temperate,Dry,Central Africa,Tubers,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Central Africa | Root Crops,Warm Temperate,Dry,Central Africa,Root Crops,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Central Africa | Barley,Warm Temperate,Dry,Central Africa,Barley,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Central Africa | Oats,Warm Temperate,Dry,Central Africa,Oats,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Central Africa | Millet,Warm Temperate,Dry,Central Africa,Millet,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Central Africa | Sorghum,Warm Temperate,Dry,Central Africa,Sorghum,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Central Africa | Rye,Warm Temperate,Dry,Central Africa,Rye,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Central Africa | Soybeans,Warm Temperate,Dry,Central Africa,Soybeans,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Central Africa | Dry Bean,Warm Temperate,Dry,Central Africa,Dry Bean,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Central Africa | Potatoes,Warm Temperate,Dry,Central Africa,Potatoes,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Central Africa | Peanuts,Warm Temperate,Dry,Central Africa,Peanuts,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Central Africa | Vegetables,Warm Temperate,Dry,Central Africa,Vegetables,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Central Africa | Oilseeds,Warm Temperate,Dry,Central Africa,Oilseeds,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Central Africa | Groundnuts,Warm Temperate,Dry,Central Africa,Groundnuts,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Central Africa | Annual Cropland,Warm Temperate,Dry,Central Africa,Annual Cropland,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Central Africa | Set Aside,Warm Temperate,Dry,Central Africa,Set Aside,4.7,4.7,1.175,8.225,,,,
,Warm Temperate | Dry | Central Africa | Flooded Rice,Warm Temperate,Dry,Central Africa,Flooded Rice,4.7,4.7,1.175,8.225,,,,
