id,livestock_production_type,manure_management_type,livestock_category_type,ipcc_region,value,value_min,value_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, table 10A.6."
22832,Default,Pit>1Month,Llamas And Alpacas,Eastern Europe,0,N/A,N/A,
16658,High-Productivity,Pit>1Month,Dairy Buffalo,Western Europe,0,N/A,N/A,
16672,High-Productivity,Pit>1Month,Dairy Buffalo,Eastern Europe,0,N/A,N/A,
16686,High-Productivity,Pit>1Month,Dairy Buffalo,Russian Federation,0,N/A,N/A,
16700,High-Productivity,Pit>1Month,Dairy Buffalo,Oceania,0,N/A,N/A,
16714,High-Productivity,Pit>1Month,Dairy Buffalo,NENA/Middle East,0,N/A,N/A,
16728,High-Productivity,Pit>1Month,Dairy Buffalo,South Asia,0,N/A,N/A,
16742,Low-Productivity,Pit>1Month,Dairy Buffalo,Sub-Saharan Africa,0,N/A,N/A,
16646,High-Productivity,Deep Bedding,Dairy Buffalo,Latin America And The Caribbean,0,N/A,N/A,
16647,High-Productivity,Composting,Dairy Buffalo,Latin America And The Caribbean,0,N/A,N/A,
16648,High-Productivity,Aerobic Treatment,Dairy Buffalo,Latin America And The Caribbean,0,N/A,N/A,
16649,High-Productivity,Lagoon,Dairy Buffalo,Western Europe,0,N/A,N/A,
16650,High-Productivity,Liquid/Slurry,Dairy Buffalo,Western Europe,34,N/A,N/A,
16651,High-Productivity,Solid Storage,Dairy Buffalo,Western Europe,63,N/A,N/A,
16652,High-Productivity,Dry Lot,Dairy Buffalo,Western Europe,0,N/A,N/A,
16653,High-Productivity,Pasture/Range/Paddock,Dairy Buffalo,Western Europe,3,N/A,N/A,
16654,High-Productivity,Daily Spread,Dairy Buffalo,Western Europe,0,N/A,N/A,
16655,High-Productivity,Digester,Dairy Buffalo,Western Europe,0,N/A,N/A,
16656,High-Productivity,Burned For Fuel,Dairy Buffalo,Western Europe,0,N/A,N/A,
16657,High-Productivity,Pit<1Month,Dairy Buffalo,Western Europe,0,N/A,N/A,
16659,High-Productivity,Poultry Manure,Dairy Buffalo,Western Europe,0,N/A,N/A,
16660,High-Productivity,Deep Bedding,Dairy Buffalo,Western Europe,0,N/A,N/A,
16661,High-Productivity,Composting,Dairy Buffalo,Western Europe,0,N/A,N/A,
16662,High-Productivity,Aerobic Treatment,Dairy Buffalo,Western Europe,0,N/A,N/A,
16663,High-Productivity,Lagoon,Dairy Buffalo,Eastern Europe,0,N/A,N/A,
16664,High-Productivity,Liquid/Slurry,Dairy Buffalo,Eastern Europe,18,N/A,N/A,
16665,High-Productivity,Solid Storage,Dairy Buffalo,Eastern Europe,68,N/A,N/A,
16666,High-Productivity,Dry Lot,Dairy Buffalo,Eastern Europe,0,N/A,N/A,
16667,High-Productivity,Pasture/Range/Paddock,Dairy Buffalo,Eastern Europe,13,N/A,N/A,
16668,High-Productivity,Daily Spread,Dairy Buffalo,Eastern Europe,1,N/A,N/A,
16669,High-Productivity,Digester,Dairy Buffalo,Eastern Europe,0,N/A,N/A,
16670,High-Productivity,Burned For Fuel,Dairy Buffalo,Eastern Europe,0,N/A,N/A,
16671,High-Productivity,Pit<1Month,Dairy Buffalo,Eastern Europe,0,N/A,N/A,
16673,High-Productivity,Poultry Manure,Dairy Buffalo,Eastern Europe,0,N/A,N/A,
16674,High-Productivity,Deep Bedding,Dairy Buffalo,Eastern Europe,0,N/A,N/A,
16675,High-Productivity,Composting,Dairy Buffalo,Eastern Europe,0,N/A,N/A,
16676,High-Productivity,Aerobic Treatment,Dairy Buffalo,Eastern Europe,0,N/A,N/A,
16677,High-Productivity,Lagoon,Dairy Buffalo,Russian Federation,0,N/A,N/A,
16678,High-Productivity,Liquid/Slurry,Dairy Buffalo,Russian Federation,18,N/A,N/A,
16679,High-Productivity,Solid Storage,Dairy Buffalo,Russian Federation,68,N/A,N/A,
16680,High-Productivity,Dry Lot,Dairy Buffalo,Russian Federation,0,N/A,N/A,
16681,High-Productivity,Pasture/Range/Paddock,Dairy Buffalo,Russian Federation,13,N/A,N/A,
16682,High-Productivity,Daily Spread,Dairy Buffalo,Russian Federation,1,N/A,N/A,
16683,High-Productivity,Digester,Dairy Buffalo,Russian Federation,0,N/A,N/A,
16684,High-Productivity,Burned For Fuel,Dairy Buffalo,Russian Federation,0,N/A,N/A,
16685,High-Productivity,Pit<1Month,Dairy Buffalo,Russian Federation,0,N/A,N/A,
16687,High-Productivity,Poultry Manure,Dairy Buffalo,Russian Federation,0,N/A,N/A,
16688,High-Productivity,Deep Bedding,Dairy Buffalo,Russian Federation,0,N/A,N/A,
16689,High-Productivity,Composting,Dairy Buffalo,Russian Federation,0,N/A,N/A,
16690,High-Productivity,Aerobic Treatment,Dairy Buffalo,Russian Federation,0,N/A,N/A,
16691,High-Productivity,Lagoon,Dairy Buffalo,Oceania,0,N/A,N/A,
16692,High-Productivity,Liquid/Slurry,Dairy Buffalo,Oceania,0,N/A,N/A,
16693,High-Productivity,Solid Storage,Dairy Buffalo,Oceania,0,N/A,N/A,
16694,High-Productivity,Dry Lot,Dairy Buffalo,Oceania,0,N/A,N/A,
16695,High-Productivity,Pasture/Range/Paddock,Dairy Buffalo,Oceania,0,N/A,N/A,
16696,High-Productivity,Daily Spread,Dairy Buffalo,Oceania,0,N/A,N/A,
16697,High-Productivity,Digester,Dairy Buffalo,Oceania,0,N/A,N/A,
16698,High-Productivity,Burned For Fuel,Dairy Buffalo,Oceania,0,N/A,N/A,
16699,High-Productivity,Pit<1Month,Dairy Buffalo,Oceania,0,N/A,N/A,
16701,High-Productivity,Poultry Manure,Dairy Buffalo,Oceania,0,N/A,N/A,
16702,High-Productivity,Deep Bedding,Dairy Buffalo,Oceania,0,N/A,N/A,
16703,High-Productivity,Composting,Dairy Buffalo,Oceania,0,N/A,N/A,
16704,High-Productivity,Aerobic Treatment,Dairy Buffalo,Oceania,0,N/A,N/A,
16705,High-Productivity,Lagoon,Dairy Buffalo,NENA/Middle East,0,N/A,N/A,
16706,High-Productivity,Liquid/Slurry,Dairy Buffalo,NENA/Middle East,0,N/A,N/A,
16707,High-Productivity,Solid Storage,Dairy Buffalo,NENA/Middle East,18,N/A,N/A,
16708,High-Productivity,Dry Lot,Dairy Buffalo,NENA/Middle East,35,N/A,N/A,
16709,High-Productivity,Pasture/Range/Paddock,Dairy Buffalo,NENA/Middle East,46,N/A,N/A,
16710,High-Productivity,Daily Spread,Dairy Buffalo,NENA/Middle East,0,N/A,N/A,
16711,High-Productivity,Digester,Dairy Buffalo,NENA/Middle East,0,N/A,N/A,
16712,High-Productivity,Burned For Fuel,Dairy Buffalo,NENA/Middle East,1,N/A,N/A,
16713,High-Productivity,Pit<1Month,Dairy Buffalo,NENA/Middle East,0,N/A,N/A,
16715,High-Productivity,Poultry Manure,Dairy Buffalo,NENA/Middle East,0,N/A,N/A,
16716,High-Productivity,Deep Bedding,Dairy Buffalo,NENA/Middle East,0,N/A,N/A,
16717,High-Productivity,Composting,Dairy Buffalo,NENA/Middle East,0,N/A,N/A,
16718,High-Productivity,Aerobic Treatment,Dairy Buffalo,NENA/Middle East,0,N/A,N/A,
16719,High-Productivity,Lagoon,Dairy Buffalo,South Asia,0,N/A,N/A,
16720,High-Productivity,Liquid/Slurry,Dairy Buffalo,South Asia,0,N/A,N/A,
16721,High-Productivity,Solid Storage,Dairy Buffalo,South Asia,1,N/A,N/A,
16722,High-Productivity,Dry Lot,Dairy Buffalo,South Asia,41,N/A,N/A,
16723,High-Productivity,Pasture/Range/Paddock,Dairy Buffalo,South Asia,38,N/A,N/A,
16724,High-Productivity,Daily Spread,Dairy Buffalo,South Asia,0,N/A,N/A,
16725,High-Productivity,Digester,Dairy Buffalo,South Asia,0,N/A,N/A,
16726,High-Productivity,Burned For Fuel,Dairy Buffalo,South Asia,20,N/A,N/A,
16727,High-Productivity,Pit<1Month,Dairy Buffalo,South Asia,0,N/A,N/A,
16729,High-Productivity,Poultry Manure,Dairy Buffalo,South Asia,0,N/A,N/A,
16730,High-Productivity,Deep Bedding,Dairy Buffalo,South Asia,0,N/A,N/A,
16731,High-Productivity,Composting,Dairy Buffalo,South Asia,0,N/A,N/A,
16732,High-Productivity,Aerobic Treatment,Dairy Buffalo,South Asia,0,N/A,N/A,
16733,Low-Productivity,Lagoon,Dairy Buffalo,Sub-Saharan Africa,0,N/A,N/A,
16734,Low-Productivity,Liquid/Slurry,Dairy Buffalo,Sub-Saharan Africa,0,N/A,N/A,
16735,Low-Productivity,Solid Storage,Dairy Buffalo,Sub-Saharan Africa,0,N/A,N/A,
16736,Low-Productivity,Dry Lot,Dairy Buffalo,Sub-Saharan Africa,0,N/A,N/A,
16737,Low-Productivity,Pasture/Range/Paddock,Dairy Buffalo,Sub-Saharan Africa,0,N/A,N/A,
16738,Low-Productivity,Daily Spread,Dairy Buffalo,Sub-Saharan Africa,0,N/A,N/A,
16739,Low-Productivity,Digester,Dairy Buffalo,Sub-Saharan Africa,0,N/A,N/A,
16740,Low-Productivity,Burned For Fuel,Dairy Buffalo,Sub-Saharan Africa,0,N/A,N/A,
16741,Low-Productivity,Pit<1Month,Dairy Buffalo,Sub-Saharan Africa,0,N/A,N/A,
16743,Low-Productivity,Poultry Manure,Dairy Buffalo,Sub-Saharan Africa,0,N/A,N/A,
16744,Low-Productivity,Deep Bedding,Dairy Buffalo,Sub-Saharan Africa,0,N/A,N/A,
16745,Low-Productivity,Composting,Dairy Buffalo,Sub-Saharan Africa,0,N/A,N/A,
16746,Low-Productivity,Aerobic Treatment,Dairy Buffalo,Sub-Saharan Africa,0,N/A,N/A,
16747,Low-Productivity,Lagoon,Dairy Buffalo,East Asia And South-East Asia,0,N/A,N/A,
16748,Low-Productivity,Liquid/Slurry,Dairy Buffalo,East Asia And South-East Asia,0,N/A,N/A,
16749,Low-Productivity,Solid Storage,Dairy Buffalo,East Asia And South-East Asia,10,N/A,N/A,
16750,Low-Productivity,Dry Lot,Dairy Buffalo,East Asia And South-East Asia,58,N/A,N/A,
16751,Low-Productivity,Pasture/Range/Paddock,Dairy Buffalo,East Asia And South-East Asia,29,N/A,N/A,
16752,Low-Productivity,Daily Spread,Dairy Buffalo,East Asia And South-East Asia,0,N/A,N/A,
16753,Low-Productivity,Digester,Dairy Buffalo,East Asia And South-East Asia,0,N/A,N/A,
16754,Low-Productivity,Burned For Fuel,Dairy Buffalo,East Asia And South-East Asia,3,N/A,N/A,
16755,Low-Productivity,Pit<1Month,Dairy Buffalo,East Asia And South-East Asia,0,N/A,N/A,
16757,Low-Productivity,Poultry Manure,Dairy Buffalo,East Asia And South-East Asia,0,N/A,N/A,
16758,Low-Productivity,Deep Bedding,Dairy Buffalo,East Asia And South-East Asia,0,N/A,N/A,
16759,Low-Productivity,Composting,Dairy Buffalo,East Asia And South-East Asia,0,N/A,N/A,
16760,Low-Productivity,Aerobic Treatment,Dairy Buffalo,East Asia And South-East Asia,0,N/A,N/A,
16761,Low-Productivity,Lagoon,Dairy Buffalo,North America,0,N/A,N/A,
16762,Low-Productivity,Liquid/Slurry,Dairy Buffalo,North America,43,N/A,N/A,
16763,Low-Productivity,Solid Storage,Dairy Buffalo,North America,40,N/A,N/A,
16764,Low-Productivity,Dry Lot,Dairy Buffalo,North America,0,N/A,N/A,
16765,Low-Productivity,Pasture/Range/Paddock,Dairy Buffalo,North America,17,N/A,N/A,
16766,Low-Productivity,Daily Spread,Dairy Buffalo,North America,0,N/A,N/A,
16767,Low-Productivity,Digester,Dairy Buffalo,North America,0,N/A,N/A,
16768,Low-Productivity,Burned For Fuel,Dairy Buffalo,North America,0,N/A,N/A,
16769,Low-Productivity,Pit<1Month,Dairy Buffalo,North America,0,N/A,N/A,
16771,Low-Productivity,Poultry Manure,Dairy Buffalo,North America,0,N/A,N/A,
16772,Low-Productivity,Deep Bedding,Dairy Buffalo,North America,0,N/A,N/A,
16773,Low-Productivity,Composting,Dairy Buffalo,North America,0,N/A,N/A,
16774,Low-Productivity,Aerobic Treatment,Dairy Buffalo,North America,0,N/A,N/A,
16775,Low-Productivity,Lagoon,Dairy Buffalo,Latin America And The Caribbean,0,N/A,N/A,
16776,Low-Productivity,Liquid/Slurry,Dairy Buffalo,Latin America And The Caribbean,0,N/A,N/A,
16777,Low-Productivity,Solid Storage,Dairy Buffalo,Latin America And The Caribbean,2,N/A,N/A,
16778,Low-Productivity,Dry Lot,Dairy Buffalo,Latin America And The Caribbean,48,N/A,N/A,
16779,Low-Productivity,Pasture/Range/Paddock,Dairy Buffalo,Latin America And The Caribbean,50,N/A,N/A,
16780,Low-Productivity,Daily Spread,Dairy Buffalo,Latin America And The Caribbean,0,N/A,N/A,
16781,Low-Productivity,Digester,Dairy Buffalo,Latin America And The Caribbean,0,N/A,N/A,
16782,Low-Productivity,Burned For Fuel,Dairy Buffalo,Latin America And The Caribbean,0,N/A,N/A,
16783,Low-Productivity,Pit<1Month,Dairy Buffalo,Latin America And The Caribbean,0,N/A,N/A,
16785,Low-Productivity,Poultry Manure,Dairy Buffalo,Latin America And The Caribbean,0,N/A,N/A,
16786,Low-Productivity,Deep Bedding,Dairy Buffalo,Latin America And The Caribbean,0,N/A,N/A,
16787,Low-Productivity,Composting,Dairy Buffalo,Latin America And The Caribbean,0,N/A,N/A,
16788,Low-Productivity,Aerobic Treatment,Dairy Buffalo,Latin America And The Caribbean,0,N/A,N/A,
16789,Low-Productivity,Lagoon,Dairy Buffalo,Western Europe,0,N/A,N/A,
16790,Low-Productivity,Liquid/Slurry,Dairy Buffalo,Western Europe,34,N/A,N/A,
16791,Low-Productivity,Solid Storage,Dairy Buffalo,Western Europe,63,N/A,N/A,
16792,Low-Productivity,Dry Lot,Dairy Buffalo,Western Europe,0,N/A,N/A,
16793,Low-Productivity,Pasture/Range/Paddock,Dairy Buffalo,Western Europe,3,N/A,N/A,
16794,Low-Productivity,Daily Spread,Dairy Buffalo,Western Europe,0,N/A,N/A,
16795,Low-Productivity,Digester,Dairy Buffalo,Western Europe,0,N/A,N/A,
16796,Low-Productivity,Burned For Fuel,Dairy Buffalo,Western Europe,0,N/A,N/A,
16797,Low-Productivity,Pit<1Month,Dairy Buffalo,Western Europe,0,N/A,N/A,
16799,Low-Productivity,Poultry Manure,Dairy Buffalo,Western Europe,0,N/A,N/A,
16800,Low-Productivity,Deep Bedding,Dairy Buffalo,Western Europe,0,N/A,N/A,
16801,Low-Productivity,Composting,Dairy Buffalo,Western Europe,0,N/A,N/A,
16802,Low-Productivity,Aerobic Treatment,Dairy Buffalo,Western Europe,0,N/A,N/A,
16803,Low-Productivity,Lagoon,Dairy Buffalo,Eastern Europe,0,N/A,N/A,
16804,Low-Productivity,Liquid/Slurry,Dairy Buffalo,Eastern Europe,18,N/A,N/A,
16805,Low-Productivity,Solid Storage,Dairy Buffalo,Eastern Europe,68,N/A,N/A,
16806,Low-Productivity,Dry Lot,Dairy Buffalo,Eastern Europe,0,N/A,N/A,
16807,Low-Productivity,Pasture/Range/Paddock,Dairy Buffalo,Eastern Europe,13,N/A,N/A,
16808,Low-Productivity,Daily Spread,Dairy Buffalo,Eastern Europe,1,N/A,N/A,
16809,Low-Productivity,Digester,Dairy Buffalo,Eastern Europe,0,N/A,N/A,
16810,Low-Productivity,Burned For Fuel,Dairy Buffalo,Eastern Europe,0,N/A,N/A,
16811,Low-Productivity,Pit<1Month,Dairy Buffalo,Eastern Europe,0,N/A,N/A,
16813,Low-Productivity,Poultry Manure,Dairy Buffalo,Eastern Europe,0,N/A,N/A,
16814,Low-Productivity,Deep Bedding,Dairy Buffalo,Eastern Europe,0,N/A,N/A,
16815,Low-Productivity,Composting,Dairy Buffalo,Eastern Europe,0,N/A,N/A,
16816,Low-Productivity,Aerobic Treatment,Dairy Buffalo,Eastern Europe,0,N/A,N/A,
16817,Low-Productivity,Lagoon,Dairy Buffalo,Russian Federation,0,N/A,N/A,
16818,Low-Productivity,Liquid/Slurry,Dairy Buffalo,Russian Federation,18,N/A,N/A,
16819,Low-Productivity,Solid Storage,Dairy Buffalo,Russian Federation,68,N/A,N/A,
16820,Low-Productivity,Dry Lot,Dairy Buffalo,Russian Federation,0,N/A,N/A,
16821,Low-Productivity,Pasture/Range/Paddock,Dairy Buffalo,Russian Federation,13,N/A,N/A,
16822,Low-Productivity,Daily Spread,Dairy Buffalo,Russian Federation,1,N/A,N/A,
16823,Low-Productivity,Digester,Dairy Buffalo,Russian Federation,0,N/A,N/A,
16824,Low-Productivity,Burned For Fuel,Dairy Buffalo,Russian Federation,0,N/A,N/A,
16825,Low-Productivity,Pit<1Month,Dairy Buffalo,Russian Federation,0,N/A,N/A,
16827,Low-Productivity,Poultry Manure,Dairy Buffalo,Russian Federation,0,N/A,N/A,
16828,Low-Productivity,Deep Bedding,Dairy Buffalo,Russian Federation,0,N/A,N/A,
16829,Low-Productivity,Composting,Dairy Buffalo,Russian Federation,0,N/A,N/A,
16830,Low-Productivity,Aerobic Treatment,Dairy Buffalo,Russian Federation,0,N/A,N/A,
16831,Low-Productivity,Lagoon,Dairy Buffalo,Oceania,0,N/A,N/A,
16832,Low-Productivity,Liquid/Slurry,Dairy Buffalo,Oceania,0,N/A,N/A,
16833,Low-Productivity,Solid Storage,Dairy Buffalo,Oceania,0,N/A,N/A,
16834,Low-Productivity,Dry Lot,Dairy Buffalo,Oceania,0,N/A,N/A,
16835,Low-Productivity,Pasture/Range/Paddock,Dairy Buffalo,Oceania,0,N/A,N/A,
16836,Low-Productivity,Daily Spread,Dairy Buffalo,Oceania,0,N/A,N/A,
16837,Low-Productivity,Digester,Dairy Buffalo,Oceania,0,N/A,N/A,
16838,Low-Productivity,Burned For Fuel,Dairy Buffalo,Oceania,0,N/A,N/A,
16839,Low-Productivity,Pit<1Month,Dairy Buffalo,Oceania,0,N/A,N/A,
16841,Low-Productivity,Poultry Manure,Dairy Buffalo,Oceania,0,N/A,N/A,
16842,Low-Productivity,Deep Bedding,Dairy Buffalo,Oceania,0,N/A,N/A,
16843,Low-Productivity,Composting,Dairy Buffalo,Oceania,0,N/A,N/A,
16844,Low-Productivity,Aerobic Treatment,Dairy Buffalo,Oceania,0,N/A,N/A,
16845,Low-Productivity,Lagoon,Dairy Buffalo,NENA/Middle East,0,N/A,N/A,
16846,Low-Productivity,Liquid/Slurry,Dairy Buffalo,NENA/Middle East,0,N/A,N/A,
16847,Low-Productivity,Solid Storage,Dairy Buffalo,NENA/Middle East,18,N/A,N/A,
16848,Low-Productivity,Dry Lot,Dairy Buffalo,NENA/Middle East,35,N/A,N/A,
16849,Low-Productivity,Pasture/Range/Paddock,Dairy Buffalo,NENA/Middle East,46,N/A,N/A,
16850,Low-Productivity,Daily Spread,Dairy Buffalo,NENA/Middle East,0,N/A,N/A,
16851,Low-Productivity,Digester,Dairy Buffalo,NENA/Middle East,0,N/A,N/A,
16852,Low-Productivity,Burned For Fuel,Dairy Buffalo,NENA/Middle East,1,N/A,N/A,
16853,Low-Productivity,Pit<1Month,Dairy Buffalo,NENA/Middle East,0,N/A,N/A,
16855,Low-Productivity,Poultry Manure,Dairy Buffalo,NENA/Middle East,0,N/A,N/A,
16856,Low-Productivity,Deep Bedding,Dairy Buffalo,NENA/Middle East,0,N/A,N/A,
16857,Low-Productivity,Composting,Dairy Buffalo,NENA/Middle East,0,N/A,N/A,
16858,Low-Productivity,Aerobic Treatment,Dairy Buffalo,NENA/Middle East,0,N/A,N/A,
16859,Low-Productivity,Lagoon,Dairy Buffalo,South Asia,0,N/A,N/A,
16860,Low-Productivity,Liquid/Slurry,Dairy Buffalo,South Asia,0,N/A,N/A,
16861,Low-Productivity,Solid Storage,Dairy Buffalo,South Asia,1,N/A,N/A,
16862,Low-Productivity,Dry Lot,Dairy Buffalo,South Asia,41,N/A,N/A,
16863,Low-Productivity,Pasture/Range/Paddock,Dairy Buffalo,South Asia,38,N/A,N/A,
16864,Low-Productivity,Daily Spread,Dairy Buffalo,South Asia,0,N/A,N/A,
16865,Low-Productivity,Digester,Dairy Buffalo,South Asia,0,N/A,N/A,
16866,Low-Productivity,Burned For Fuel,Dairy Buffalo,South Asia,20,N/A,N/A,
16867,Low-Productivity,Pit<1Month,Dairy Buffalo,South Asia,0,N/A,N/A,
16869,Low-Productivity,Poultry Manure,Dairy Buffalo,South Asia,0,N/A,N/A,
16870,Low-Productivity,Deep Bedding,Dairy Buffalo,South Asia,0,N/A,N/A,
16871,Low-Productivity,Composting,Dairy Buffalo,South Asia,0,N/A,N/A,
16872,Low-Productivity,Aerobic Treatment,Dairy Buffalo,South Asia,0,N/A,N/A,
16873,Default,Lagoon,Dairy Buffalo,Sub-Saharan Africa,0,N/A,N/A,
16874,Default,Liquid/Slurry,Dairy Buffalo,Sub-Saharan Africa,0,N/A,N/A,
16875,Default,Solid Storage,Dairy Buffalo,Sub-Saharan Africa,0,N/A,N/A,
16876,Default,Dry Lot,Dairy Buffalo,Sub-Saharan Africa,0,N/A,N/A,
16877,Default,Pasture/Range/Paddock,Dairy Buffalo,Sub-Saharan Africa,0,N/A,N/A,
16878,Default,Daily Spread,Dairy Buffalo,Sub-Saharan Africa,0,N/A,N/A,
16879,Default,Digester,Dairy Buffalo,Sub-Saharan Africa,0,N/A,N/A,
16880,Default,Burned For Fuel,Dairy Buffalo,Sub-Saharan Africa,0,N/A,N/A,
16881,Default,Pit<1Month,Dairy Buffalo,Sub-Saharan Africa,0,N/A,N/A,
16883,Default,Poultry Manure,Dairy Buffalo,Sub-Saharan Africa,0,N/A,N/A,
16884,Default,Deep Bedding,Dairy Buffalo,Sub-Saharan Africa,0,N/A,N/A,
16885,Default,Composting,Dairy Buffalo,Sub-Saharan Africa,0,N/A,N/A,
16886,Default,Aerobic Treatment,Dairy Buffalo,Sub-Saharan Africa,0,N/A,N/A,
16887,Default,Lagoon,Dairy Buffalo,East Asia And South-East Asia,0,N/A,N/A,
16888,Default,Liquid/Slurry,Dairy Buffalo,East Asia And South-East Asia,0,N/A,N/A,
16889,Default,Solid Storage,Dairy Buffalo,East Asia And South-East Asia,10,N/A,N/A,
16890,Default,Dry Lot,Dairy Buffalo,East Asia And South-East Asia,58,N/A,N/A,
16891,Default,Pasture/Range/Paddock,Dairy Buffalo,East Asia And South-East Asia,29,N/A,N/A,
16892,Default,Daily Spread,Dairy Buffalo,East Asia And South-East Asia,0,N/A,N/A,
16893,Default,Digester,Dairy Buffalo,East Asia And South-East Asia,0,N/A,N/A,
16894,Default,Burned For Fuel,Dairy Buffalo,East Asia And South-East Asia,3,N/A,N/A,
16895,Default,Pit<1Month,Dairy Buffalo,East Asia And South-East Asia,0,N/A,N/A,
16897,Default,Poultry Manure,Dairy Buffalo,East Asia And South-East Asia,0,N/A,N/A,
16898,Default,Deep Bedding,Dairy Buffalo,East Asia And South-East Asia,0,N/A,N/A,
16899,Default,Composting,Dairy Buffalo,East Asia And South-East Asia,0,N/A,N/A,
16900,Default,Aerobic Treatment,Dairy Buffalo,East Asia And South-East Asia,0,N/A,N/A,
16901,Default,Lagoon,Dairy Buffalo,North America,0,N/A,N/A,
16902,Default,Liquid/Slurry,Dairy Buffalo,North America,43,N/A,N/A,
16903,Default,Solid Storage,Dairy Buffalo,North America,40,N/A,N/A,
16904,Default,Dry Lot,Dairy Buffalo,North America,0,N/A,N/A,
16905,Default,Pasture/Range/Paddock,Dairy Buffalo,North America,17,N/A,N/A,
16906,Default,Daily Spread,Dairy Buffalo,North America,0,N/A,N/A,
16907,Default,Digester,Dairy Buffalo,North America,0,N/A,N/A,
16908,Default,Burned For Fuel,Dairy Buffalo,North America,0,N/A,N/A,
16909,Default,Pit<1Month,Dairy Buffalo,North America,0,N/A,N/A,
16911,Default,Poultry Manure,Dairy Buffalo,North America,0,N/A,N/A,
16912,Default,Deep Bedding,Dairy Buffalo,North America,0,N/A,N/A,
16913,Default,Composting,Dairy Buffalo,North America,0,N/A,N/A,
16914,Default,Aerobic Treatment,Dairy Buffalo,North America,0,N/A,N/A,
16915,Default,Lagoon,Dairy Buffalo,Latin America And The Caribbean,0,N/A,N/A,
16916,Default,Liquid/Slurry,Dairy Buffalo,Latin America And The Caribbean,0,N/A,N/A,
16917,Default,Solid Storage,Dairy Buffalo,Latin America And The Caribbean,2,N/A,N/A,
16918,Default,Dry Lot,Dairy Buffalo,Latin America And The Caribbean,48,N/A,N/A,
16919,Default,Pasture/Range/Paddock,Dairy Buffalo,Latin America And The Caribbean,50,N/A,N/A,
16920,Default,Daily Spread,Dairy Buffalo,Latin America And The Caribbean,0,N/A,N/A,
16921,Default,Digester,Dairy Buffalo,Latin America And The Caribbean,0,N/A,N/A,
16922,Default,Burned For Fuel,Dairy Buffalo,Latin America And The Caribbean,0,N/A,N/A,
16923,Default,Pit<1Month,Dairy Buffalo,Latin America And The Caribbean,0,N/A,N/A,
16925,Default,Poultry Manure,Dairy Buffalo,Latin America And The Caribbean,0,N/A,N/A,
16926,Default,Deep Bedding,Dairy Buffalo,Latin America And The Caribbean,0,N/A,N/A,
16927,Default,Composting,Dairy Buffalo,Latin America And The Caribbean,0,N/A,N/A,
16928,Default,Aerobic Treatment,Dairy Buffalo,Latin America And The Caribbean,0,N/A,N/A,
16929,Default,Lagoon,Dairy Buffalo,Western Europe,0,N/A,N/A,
16930,Default,Liquid/Slurry,Dairy Buffalo,Western Europe,34,N/A,N/A,
16931,Default,Solid Storage,Dairy Buffalo,Western Europe,63,N/A,N/A,
16932,Default,Dry Lot,Dairy Buffalo,Western Europe,0,N/A,N/A,
16933,Default,Pasture/Range/Paddock,Dairy Buffalo,Western Europe,3,N/A,N/A,
16934,Default,Daily Spread,Dairy Buffalo,Western Europe,0,N/A,N/A,
16935,Default,Digester,Dairy Buffalo,Western Europe,0,N/A,N/A,
16936,Default,Burned For Fuel,Dairy Buffalo,Western Europe,0,N/A,N/A,
16937,Default,Pit<1Month,Dairy Buffalo,Western Europe,0,N/A,N/A,
16939,Default,Poultry Manure,Dairy Buffalo,Western Europe,0,N/A,N/A,
16940,Default,Deep Bedding,Dairy Buffalo,Western Europe,0,N/A,N/A,
16941,Default,Composting,Dairy Buffalo,Western Europe,0,N/A,N/A,
16942,Default,Aerobic Treatment,Dairy Buffalo,Western Europe,0,N/A,N/A,
16943,Default,Lagoon,Dairy Buffalo,Eastern Europe,0,N/A,N/A,
16944,Default,Liquid/Slurry,Dairy Buffalo,Eastern Europe,18,N/A,N/A,
16945,Default,Solid Storage,Dairy Buffalo,Eastern Europe,68,N/A,N/A,
16946,Default,Dry Lot,Dairy Buffalo,Eastern Europe,0,N/A,N/A,
16947,Default,Pasture/Range/Paddock,Dairy Buffalo,Eastern Europe,13,N/A,N/A,
16948,Default,Daily Spread,Dairy Buffalo,Eastern Europe,1,N/A,N/A,
16949,Default,Digester,Dairy Buffalo,Eastern Europe,0,N/A,N/A,
16950,Default,Burned For Fuel,Dairy Buffalo,Eastern Europe,0,N/A,N/A,
16951,Default,Pit<1Month,Dairy Buffalo,Eastern Europe,0,N/A,N/A,
16953,Default,Poultry Manure,Dairy Buffalo,Eastern Europe,0,N/A,N/A,
16954,Default,Deep Bedding,Dairy Buffalo,Eastern Europe,0,N/A,N/A,
16955,Default,Composting,Dairy Buffalo,Eastern Europe,0,N/A,N/A,
16956,Default,Aerobic Treatment,Dairy Buffalo,Eastern Europe,0,N/A,N/A,
16957,Default,Lagoon,Dairy Buffalo,Russian Federation,0,N/A,N/A,
16958,Default,Liquid/Slurry,Dairy Buffalo,Russian Federation,18,N/A,N/A,
16959,Default,Solid Storage,Dairy Buffalo,Russian Federation,68,N/A,N/A,
16960,Default,Dry Lot,Dairy Buffalo,Russian Federation,0,N/A,N/A,
16961,Default,Pasture/Range/Paddock,Dairy Buffalo,Russian Federation,13,N/A,N/A,
